"doi","name","url","subjects","match"
"10.25504/FAIRsharing.6b9re3","NeuroImaging Tools and Resources Collaboratory","https://www.nitrc.org/","c(""Bioinformatics"", ""Computational Neuroscience"", ""Neuroscience"")",NA
"10.25504/FAIRsharing.zzaykv","Side Effect Resource","http://sideeffects.embl.de","c(""Health Science"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.t5ha5j","Cell Centered Database","http://ccdb.ucsd.edu/home","Life Science","Life Science"
"10.25504/FAIRsharing.x2vch3","Virulence Factor Database","http://www.mgc.ac.cn/VFs/","c(""Life Science"", ""Ontology and Terminology"")","Life Science"
"10.25504/FAIRsharing.ab8f4d","Nordic Control Allele Frequency and Genotype Database","http://nordicdb.org/","c(""Genetics"", ""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.gwyrzg","Aptamer Base","http://aptamerbase.semanticscience.org/","Life Science","Life Science"
"10.25504/FAIRsharing.3wdd17","Antibody Registry","https://antibodyregistry.org/","Biomedical Science",NA
"10.25504/FAIRsharing.veg2d6","FlowRepository","http://www.flowrepository.org","c(""Life Science"", ""Cell Biology"", ""Biology"")","Life Science"
"10.25504/FAIRsharing.ncr75x","wiki-pain","http://wiki-pain.org/vhosts/wikipaints/mediawiki-1.19.1/index.php/Main_Page","c(""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.mt6057","CellFinder","http://cellfinder.org/","Life Science","Life Science"
"10.25504/FAIRsharing.fgj73t","Monosaccharide Database","http://www.monosaccharidedb.org/","c(""Life Science"", ""Glycomics"")","Life Science"
"10.25504/FAIRsharing.tfvd5r","Glycosciences.de DB","http://www.glycosciences.de/database/","c(""Life Science"", ""Glycomics"")","Life Science"
"10.25504/FAIRsharing.bc23s","GlycoProtDB","https://acgg.asia/db/gpdb/","c(""Proteomics"", ""Life Science"", ""Glycomics"")","Life Science"
"10.25504/FAIRsharing.d50fb5","Encyclopedia of Hepatocellular Carcinome Genes Online II","http://ehco.iis.sinica.edu.tw/","c(""Oncology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.2h8cxh","autoSNPdb","http://autosnpdb.appliedbioinformatics.com.au","Life Science","Life Science"
"10.25504/FAIRsharing.8hcczk","Addgene","http://www.addgene.org/","Life Science","Life Science"
"10.25504/FAIRsharing.tf6kj8","Reactome","https://reactome.org","c(""Virology"", ""Life Science"", ""Epidemiology"")","Life Science"
"10.25504/FAIRsharing.29we0s","HUGO Gene Nomenclature Committee","https://www.genenames.org/","c(""Life Science"", ""Ontology and Terminology"")","Life Science"
"10.25504/FAIRsharing.3q3kvn","Escherichia coli strain K12 genome database","http://ecogene.org/","character(0)",NA
"10.25504/FAIRsharing.286amb","MycoBrowser leprae","http://mycobrowser.epfl.ch/leprosy.html","Life Science","Life Science"
"10.25504/FAIRsharing.vfgn70","MycoBrowser marinum","http://mycobrowser.epfl.ch/marinolist.html","Life Science","Life Science"
"10.25504/FAIRsharing.wxh9gn","MycoBrowser smegmatis","http://mycobrowser.epfl.ch/smegmalist.html","Life Science","Life Science"
"10.25504/FAIRsharing.6s44n0","MycoBrowser tuberculosis","http://tuberculist.epfl.ch/","character(0)",NA
"10.25504/FAIRsharing.rnx28e","Expression Database in 4D","http://4dx.embl.de/4DXpress","Life Science","Life Science"
"10.25504/FAIRsharing.f5xs6m","BloodSpot","http://www.bloodspot.eu","c(""Developmental Biology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.7qexb2","Plant DNA C-values database","http://data.kew.org/cvalues/","Life Science","Life Science"
"10.25504/FAIRsharing.g2cf4x","CollecTF","http://collectf.umbc.edu","c(""Developmental Biology"", ""Life Science"", ""Transcriptomics"")","Life Science"
"10.25504/FAIRsharing.ajpk6x","International Neuroimaging Data-Sharing Initiative","http://fcon_1000.projects.nitrc.org/","c(""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.kj4pvk","SciCrunch","https://scicrunch.org","c(""Neurobiology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.txkh36","Database of Genomic Variants Archive","http://www.ebi.ac.uk/dgva/","Genomics",NA
"10.25504/FAIRsharing.gg60g3","The Improved Database Of Chimeric Transcripts and RNA-Seq Data","http://chitars.md.biu.ac.il/","Life Science","Life Science"
"10.25504/FAIRsharing.fe48sc","Moroccan Genetic Disease Database","http://mgdd.pasteur.ma/index.php","Biomedical Science",NA
"10.25504/FAIRsharing.s1r9bw","OpenNeuro","https://www.openneuro.org/","c(""Neurobiology"", ""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.qw7qtk","The MOuse NOnCode Lung database","http://www.monocldb.org/","c(""Functional Genomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.17z0yf","iSpyBio","http://www.ispybio.com/","Life Science","Life Science"
"10.25504/FAIRsharing.fssydn","DisGeNET","http://www.disgenet.org","c(""Human Genetics"", ""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.qv0f6x","Manually Curated Database of Rice Proteins","http://www.genomeindia.org/biocuration","Botany",NA
"10.25504/FAIRsharing.xd3wmy","Environmental Data Initiative Data Portal","https://portal.edirepository.org/","c(""Botany"", ""Plant Ecology"", ""Environmental Science"", ""Microbial Ecology"", ""Zoology"", ""Geophysics"", ""Ecology"", ""Natural Science"", ""Earth Science"", ""Atmospheric Science"", ""Agriculture"", ""Life Science"", ""Microbiology"", ""Oceanography"", ""Biology"", ""Ecosystem Science"")","Life Science"
"10.25504/FAIRsharing.q7bkqr","STING","http://sms.cbi.cnptia.embrapa.br/SMS/index_s.html","Life Science","Life Science"
"10.25504/FAIRsharing.t3nprm","CryptoDB","https://cryptodb.org/cryptodb/app","c(""Functional Genomics"", ""Genomics"", ""Parasitology"")",NA
"10.25504/FAIRsharing.v3jf2q","Human Oral Microbiome Database","http://www.homd.org/","c(""Life Science"", ""Ontology and Terminology"")","Life Science"
"10.25504/FAIRsharing.y1zyaq","Small Molecule Pathway Database","http://www.smpdb.ca/","Life Science","Life Science"
"10.25504/FAIRsharing.k5k0yh","GlycomeDB","http://www.glycome-db.org/showMenu.action?major=database","Life Science","Life Science"
"10.25504/FAIRsharing.aftff2","The Gene Index Project","http://compbio.dfci.harvard.edu/tgi/","Life Science","Life Science"
"10.25504/FAIRsharing.tyyn81","Health Canada Drug Product Database","https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database.html","Biomedical Science",NA
"10.25504/FAIRsharing.bwctv","European Hepatitis C Virus database","https://euhcvdb.lyon.inserm.fr/euHCVdb/","c(""Virology"", ""Life Science"", ""Epidemiology"")","Life Science"
"10.25504/FAIRsharing.91yrz6","Extracellular Matrix Interaction Database","http://matrixdb.univ-lyon1.fr","Biology",NA
"10.25504/FAIRsharing.88b6b5","Protein Classification Benchmark Collection","http://net.icgeb.org/benchmark/","Life Science","Life Science"
"10.25504/FAIRsharing.sed5tq","BAliBASE","http://www.lbgi.fr/balibase/","Life Science","Life Science"
"10.25504/FAIRsharing.wqyw8s","Interrupted coding sequences","http://www-bio3d-igbmc.u-strasbg.fr/ICDS/","c(""Genomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.8ggr5j","PeroxisomeDB","http://www.peroxisomedb.org","character(0)",NA
"10.25504/FAIRsharing.8d3ka8","ImMunoGeneTics Information System","http://www.imgt.org","c(""Immunogenetics"", ""Genetics"", ""Immunology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.wyz5he","Conformation Angles Database","http://cluster.physics.iisc.ernet.in/cadb/","Life Science","Life Science"
"10.25504/FAIRsharing.1nwy41","Transmembrane Helices in Genome Sequences","http://pranag.physics.iisc.ernet.in/thgs/","Life Science","Life Science"
"10.25504/FAIRsharing.me577e","Drosophila Species Genomes","http://insects.eugenes.org/DroSpeGe/","c(""Phylogenetics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.7fc5y6","Eukaryotic Genes","http://eugenes.org/","Life Science","Life Science"
"10.25504/FAIRsharing.mx41z8","FusionDB","http://igs-server.cnrs-mrs.fr/FusionDB/","Life Science","Life Science"
"10.25504/FAIRsharing.cb05hf","Aphid Genomics Database","http://www.aphidbase.com/","Life Science","Life Science"
"10.25504/FAIRsharing.a8z6gz","ProDom","http://prodom.prabi.fr/","Life Science","Life Science"
"10.25504/FAIRsharing.c3kchy","SpodoBase","http://bioweb.ensam.inra.fr/spodobase/","Life Science","Life Science"
"10.25504/FAIRsharing.pmg2vd","GenAtlas","http://www.genatlas.org/","Life Science","Life Science"
"10.25504/FAIRsharing.vk3v6s","GermOnline","http://www.germonline.org/index.html","Life Science","Life Science"
"10.25504/FAIRsharing.m3316t","VirHostNet 2.0","http://virhostnet.prabi.fr","c(""Virology"", ""Life Science"", ""Systems Biology"")","Life Science"
"10.25504/FAIRsharing.ek15yj","Integrated Tumor Transcriptome Array and Clinical data Analysis database","http://bioinfo.curie.fr/ittaca","c(""Life Science"", ""Biomedical Science"", ""Preclinical Studies"")","Life Science"
"10.25504/FAIRsharing.jrjqc7","Buruli ulcer bacillus Database","http://genolist.pasteur.fr/BuruList/","c(""Genomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.hbbtbj","Colibri","http://genolist.pasteur.fr/Colibri/","Life Science","Life Science"
"10.25504/FAIRsharing.amxd1s","GenoList Genome Browser","http://genolist.pasteur.fr/","Life Science","Life Science"
"10.25504/FAIRsharing.dntrmf","Legionella pneumophila genome database","http://genolist.pasteur.fr/LegioList/","c(""Genomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.93gy4v","Listeria innocua and Listeria monocytogenes genomes database","http://genolist.pasteur.fr/ListiList/","Life Science","Life Science"
"10.25504/FAIRsharing.pmz447","Mycoplasma pulmonis genome database","http://genolist.pasteur.fr/MypuList/","Life Science","Life Science"
"10.25504/FAIRsharing.9ppftz","Photorhabdus luminescens genome database","http://genolist.pasteur.fr/PhotoList/","c(""Genomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.x54ymh","Streptococcus agalactiae NEM316 / Serotype III genome database","http://genolist.pasteur.fr/SagaList/","c(""Genomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.40j2vd","Bacillus subtilis strain 168 genome","http://genolist.pasteur.fr/SubtiList/","character(0)",NA
"10.25504/FAIRsharing.rxe7z2","PDZBase","http://abc.med.cornell.edu/pdzbase","c(""Proteomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.fh5zm7","Signaling Pathway Information System","http://icb.med.cornell.edu/crt/SigPath/index.xml","Life Science","Life Science"
"10.25504/FAIRsharing.dvyrsz","PeptideAtlas","http://www.peptideatlas.org","Proteomics",NA
"10.25504/FAIRsharing.5f5mfm","Bactibase: database dedicated to bacteriocins","http://bactibase.hammamilab.org/main.php","Life Science","Life Science"
"10.25504/FAIRsharing.g6kz6h","Infevers","https://infevers.umai-montpellier.fr/web/","Biomedical Science",NA
"10.25504/FAIRsharing.v8se8r","MycoBank","http://www.mycobank.org","c(""Taxonomy"", ""Biology"")",NA
"10.25504/FAIRsharing.f1dv0","IUPHAR/BPS Guide to PHARMACOLOGY","https://www.guidetopharmacology.org","c(""Immunology"", ""Pharmacology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.z4agsr","SoyBase","https://soybase.org/","c(""Plant Breeding"", ""Agriculture"", ""Life Science"", ""Comparative Genomics"")","Life Science"
"10.25504/FAIRsharing.vd25jp","J-GLOBAL","https://jglobal.jst.go.jp/en","Natural Science",NA
"10.25504/FAIRsharing.eyjkws","Microbial Protein Interaction Database","http://www.jcvi.org/mpidb/about.php","Life Science","Life Science"
"10.25504/FAIRsharing.xtq1xf","TIGRFAMs","https://www.ncbi.nlm.nih.gov/genome/annotation_prok/tigrfams/","Biology",NA
"10.25504/FAIRsharing.29jzvb","PSIbase","http://psibase.kobic.re.kr/","character(0)",NA
"10.25504/FAIRsharing.h5f091","BeetleBase","http://www.beetlebase.org/","c(""Computational Biology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.zx2ztd","Human Unidentified Gene-Encoded large proteins database","http://www.kazusa.or.jp/huge/","c(""Computational Biology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.vdbagq","ROdent Unidentified Gene-Encoded large proteins","http://www.kazusa.or.jp/rouge/","Life Science","Life Science"
"10.25504/FAIRsharing.mphj4z","Yeast Searching for Transcriptional Regulators and Consensus Tracking","http://www.yeastract.com","Life Science","Life Science"
"10.25504/FAIRsharing.drcy7r","NeuroMorpho.Org","http://neuromorpho.org/","c(""Computational Neuroscience"", ""Neuroscience"")",NA
"10.25504/FAIRsharing.j0t0pe","Human Protein Atlas","https://www.proteinatlas.org/","c(""Proteomics"", ""Transcriptomics"", ""Biomedical Science"", ""Systems Biology"")",NA
"10.25504/FAIRsharing.wkaakq","Protein Model Database","http://srv00.recas.ba.infn.it/PMDB/main.php","Structural Biology",NA
"10.25504/FAIRsharing.aq280w","Maize Genetics and Genomics Database","https://www.maizegdb.org","c(""Genomics"", ""Genetics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.fhcmwq","The Global Proteome Machine Database","https://www.thegpm.org/GPMDB/index.html","c(""Bioinformatics"", ""Proteomics"")",NA
"10.25504/FAIRsharing.nhmd3w","DragonDB","http://www.antirrhinum.net","character(0)",NA
"10.25504/FAIRsharing.frryvx","SUPERFAMILY","http://supfam.org","c(""Functional Genomics"", ""Genomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.xxtmjs","Melanoma Molecular Map Project","http://www.mmmp.org/MMMP/","Biomedical Science",NA
"10.25504/FAIRsharing.5y3gdd","Pathway Commons","http://www.pathwaycommons.org","c(""Bioinformatics"", ""Computational Biology"", ""Life Science"", ""Systems Biology"")","Life Science"
"10.25504/FAIRsharing.wjzty","Structural Classification Of Proteins","http://scop.mrc-lmb.cam.ac.uk/scop","Life Science","Life Science"
"10.25504/FAIRsharing.831m3y","Comprehensive Yeast Genome Database","http://mips.gsf.de/genre/proj/yeast/index.jsp","Life Science","Life Science"
"10.25504/FAIRsharing.ncgh1j","Pathway Interaction Database","http://pid.nci.nih.gov/","Life Science","Life Science"
"10.25504/FAIRsharing.gdqqm0","caArray","https://array.nci.nih.gov/caarray/home.action","character(0)",NA
"10.25504/FAIRsharing.cwn40y","Sequence-Structural Templates of Single-member Superfamilies","http://caps.ncbs.res.in/SSTOSS/index.htm","Life Science","Life Science"
"10.25504/FAIRsharing.vwmc9h","AceView genes","https://www.ncbi.nlm.nih.gov/IEB/Research/Acembly/","Life Science","Life Science"
"10.25504/FAIRsharing.w2eeqr","NCBI BioSystems Database","https://www.ncbi.nlm.nih.gov/biosystems/","c(""Biology"", ""Systems Biology"")",NA
"10.25504/FAIRsharing.2cyh1h","NCBI Cancer Chromosome Database","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=cancerchromosomes","c(""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.djsbw2","Clusters of Orthologous Groups of Proteins: Phylogenetic classification of proteins encoded in complete genomes","https://www.ncbi.nlm.nih.gov/research/cog/","Life Science","Life Science"
"10.25504/FAIRsharing.v9fya8","Expressed Sequence Tags database","https://www.ncbi.nlm.nih.gov/genbank/dbest/","c(""Bioinformatics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.r90425","dbMHC","http://www.ncbi.nlm.nih.gov/mhc/","c(""Biomedical Science"", ""Preclinical Studies"")",NA
"10.25504/FAIRsharing.64bk6p","NCBI Probe Database","http://www.ncbi.nlm.nih.gov/probe","Life Science","Life Science"
"10.25504/FAIRsharing.edxb58","Database of Single Nucleotide Polymorphism","https://www.ncbi.nlm.nih.gov/snp/","Life Science","Life Science"
"10.25504/FAIRsharing.wk5azf","Database of Sequence Tagged Sites","http://www.ncbi.nlm.nih.gov/dbSTS/index.html","Life Science","Life Science"
"10.25504/FAIRsharing.6brrxe","Genetic Codes","http://www.ncbi.nlm.nih.gov/Taxonomy/Utils/wprintgc.cgi","c(""Genetics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.5hc8vt","Gene Expression Omnibus","http://www.ncbi.nlm.nih.gov/geo/","c(""Virology"", ""Life Science"", ""Epidemiology"")","Life Science"
"10.25504/FAIRsharing.sc7fv9","HIV-1 Human Interaction Database","https://www.ncbi.nlm.nih.gov/genome/viruses/retroviruses/hiv-1/interactions/","c(""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.mzc066","NCBI HomoloGene Database","https://www.ncbi.nlm.nih.gov/homologene","Life Science","Life Science"
"10.25504/FAIRsharing.13cdzp","Influenza Virus Resource","https://www.ncbi.nlm.nih.gov/genomes/FLU/Database/nph-select.cgi?go=database","Life Science","Life Science"
"10.25504/FAIRsharing.sgqf4n","MapViewer","http://www.ncbi.nlm.nih.gov/mapview/","c(""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.zqzvyc","NCBI Structure","https://www.ncbi.nlm.nih.gov/structure","Life Science","Life Science"
"10.25504/FAIRsharing.rtndct","The Protein Database","http://www.ncbi.nlm.nih.gov/protein","c(""Life Science"", ""Translational Medicine"")","Life Science"
"10.25504/FAIRsharing.99sey6","Organelle Genome Resource","http://www.ncbi.nlm.nih.gov/genomes/GenomesHome.cgi?taxid=2759&hopt=html","c(""Anatomy"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.b5ann2","Plant Genome Central","http://www.ncbi.nlm.nih.gov/genomes/PLANTS/PlantList.html","Life Science","Life Science"
"10.25504/FAIRsharing.wpt5mp","PubMed Central","http://www.ncbi.nlm.nih.gov/pmc/","c(""Environmental Science"", ""Earth Science"", ""Virology"", ""Life Science"", ""Biomedical Science"", ""Epidemiology"")","Life Science"
"10.25504/FAIRsharing.da493y","NCBI Protein Clusters Database","https://www.ncbi.nlm.nih.gov/proteinclusters","c(""Genomics"", ""Genetics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.qt3w7z","PubChem","https://pubchem.ncbi.nlm.nih.gov/","c(""Chemistry"", ""Virology"", ""Epidemiology"")",NA
"10.25504/FAIRsharing.a5sv8m","PubMed","http://www.ncbi.nlm.nih.gov/pubmed/","c(""Environmental Science"", ""Traditional Medicine"", ""Earth Science"", ""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.4jg0qw","Reference Sequence Database","http://www.ncbi.nlm.nih.gov/RefSeq/","c(""Genetics"", ""Computational Biology"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.9sef2s","SKY/M-FISH and CGH","http://www.ncbi.nlm.nih.gov/sky/","Life Science","Life Science"
"10.25504/FAIRsharing.ge1c3p","UniGene gene-oriented nucleotide sequence clusters","http://www.ncbi.nlm.nih.gov/unigene","Life Science","Life Science"
"10.25504/FAIRsharing.81dw2c","NCBI UniSTS","http://www.ncbi.nlm.nih.gov/unists","character(0)",NA
"10.25504/FAIRsharing.p4dtt2","UniVec","http://www.ncbi.nlm.nih.gov/VecScreen/UniVec.html","Life Science","Life Science"
"10.25504/FAIRsharing.88v2k0","Database of Genotypes and Phenotypes","https://www.ncbi.nlm.nih.gov/gap/","c(""Epigenetics"", ""Genetics"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.ktafj3","Database of genomic structural VARiation","https://www.ncbi.nlm.nih.gov/dbvar/","c(""Genomics"", ""Structural Biology"", ""Structural Genomics"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.5ab0n7","Three-Dimensional Structure Database of Natural Metabolites","http://www.3dmet.dna.affrc.go.jp/","c(""Life Science"", ""Metabolomics"")","Life Science"
"10.25504/FAIRsharing.xz5m1a","Nematode Expression Pattern DataBase","http://nematode.lab.nig.ac.jp/","Life Science","Life Science"
"10.25504/FAIRsharing.2sqcxs","Nottingham Arabidopsis Stock Centre Seeds Database","http://arabidopsis.info","Life Science","Life Science"
"10.25504/FAIRsharing.w2cepp","Assembling the Fungal Tree of Life","http://aftol.org","Life Science","Life Science"
"10.25504/FAIRsharing.kn4ycg","AgBase","http://www.agbase.msstate.edu/","c(""Agriculture"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.1bnhyh","Databases of Orthologous Promoters","http://doop.abc.hu/","Life Science","Life Science"
"10.25504/FAIRsharing.6v2d2h","The Arabidopsis Gene Regulatory Information Server","https://agris-knowledgebase.org/","Botany",NA
"10.25504/FAIRsharing.efp5v2","Animal Genome Size Database","http://www.genomesize.com","Life Science","Life Science"
"10.25504/FAIRsharing.w6cxgb","Allergome","http://www.allergome.org/","c(""Medicine"", ""Health Science"", ""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.jp89d1","Evolutionary Annotation Database","http://www.h-invitational.jp/evola/search.html","c(""Life Science"", ""Comparative Genomics"")","Life Science"
"10.25504/FAIRsharing.yk38tw","AntWeb","http://www.antweb.org","c(""Anatomy"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.qqc7zw","DNASU Plasmid Repository","http://dnasu.org/DNASU/Home.do","Life Science","Life Science"
"10.25504/FAIRsharing.fqcrpt","Telomerase Database","http://telomerase.asu.edu","Life Science","Life Science"
"10.25504/FAIRsharing.j0ezpm","American Type Culture Collection database","http://www.atcc.org/","c(""Virology"", ""Life Science"", ""Epidemiology"")","Life Science"
"10.25504/FAIRsharing.tby3x7","Arabidopsis Thaliana Trans-factor and cis-Element prediction Database","http://atted.jp","c(""Life Science"", ""Transcriptomics"")","Life Science"
"10.25504/FAIRsharing.pcmg8s","Mammalian Protein Localization Database","http://locate.imb.uq.edu.au/","Life Science","Life Science"
"10.25504/FAIRsharing.77d397","Functional Coverage of the Proteome","http://cgl.imim.es/fcp/","c(""Proteomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.ff7n4h","Drosophila polymorphism database","http://dpdb.uab.es/dpdb/dpdb.asp","Life Science","Life Science"
"10.25504/FAIRsharing.4eanvm","Evolutionary Trace","http://mammoth.bcm.tmc.edu/ETserver.html","Life Science","Life Science"
"10.25504/FAIRsharing.6e05x2","Gene Disruption Project Database","http://flypush.imgen.bcm.tmc.edu/pscreen/","Life Science","Life Science"
"10.25504/FAIRsharing.svkzq3","Non-Redundant B.subtilis database","http://pbil.univ-lyon1.fr/nrsub/nrsub.html","character(0)",NA
"10.25504/FAIRsharing.73cqdk","Pathogen Host Interactions","http://www.phi-base.org/","Life Science","Life Science"
"10.25504/FAIRsharing.efwq12","UK Stem Cell Bank","https://www.nibsc.org/ukstemcellbank","c(""Life Science"", ""Preclinical Studies"")","Life Science"
"10.25504/FAIRsharing.rwd4wq","cis-Regulatory Element Database","http://www.cisred.org/","Life Science","Life Science"
"10.25504/FAIRsharing.gk7nfn","Beijing Genomics Institute Rice Information System","http://rise.genomics.org.cn/","Life Science","Life Science"
"10.25504/FAIRsharing.d4q4g2","Chicken Variation Database","http://chicken.genomics.org.cn","Life Science","Life Science"
"10.25504/FAIRsharing.nmavtd","Influenza Virus Database","http://influenza.psych.ac.cn/","Life Science","Life Science"
"10.25504/FAIRsharing.snnfj7","Pig Genomic Informatics System","http://pig.genomics.org.cn/","Life Science","Life Science"
