"re3data_ID","type","certificate","repositoryURL","repositoryName","subject","providerType","dataLicenseName","databaseAccessType","dataAccessType","policyName","description"
"r3d100000021","disciplinary","","http://cds.dl.ac.uk/","Chemical Database Service","3 Natural Sciences_AND_31 Chemistry","serviceProvider","other","open","restricted","Acceptable Use Policy_AND_Eligibility & Terms of Use","Most or all of the features are no longer available via the CDS/DL website since provision of the EPSRC UK national Chemical Database Service has been taken over by the Royal Society of Chemistry from 1st January 2013. See:  http://cds.rsc.org/ . Daresbury now offers reduced database access, but CrystalWorks developments continue here. 
Some related features may be available via the RSC/CSD portal. For details of what is currently available on the CDS/DL website and also links to the RSC/CDS portal follow the link to the CDS/DL Homepage.   //  The service gives on-line access to a rich variety of quality databases in fields relating to chemistry. The CDS team also provides general support, training and advice."
"r3d100000022","disciplinary_AND_institutional","","https://apps.orau.gov/cedr/default.aspx#.W21OlbhBk2e","Comprehensive Epidemiological Data Resource","2 Life Sciences_AND_205 Medicine_AND_22 Medicine_AND_4 Engineering Sciences_AND_408 Electrical Engineering_AND_40803 Electrical Energy Generation, Distribution, Application_AND_44 Computer Science, Electrical and System Engineering","dataProvider_AND_serviceProvider","other","open","restricted","Federal Information Security Management Act (FISMA) Implementation Project",">>>!!!<<< The repository is no longer available.   No more access to Comprehensive Epidemiological Data Resource >>>!!!<<<"
"r3d100000023","disciplinary","","http://www.cellimagelibrary.org/home","The Cell Image Library","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_20103 Cell Biology_AND_202 Plant Sciences_AND_20206 Plant Cell and Developmental Biology_AND_203 Zoology_AND_20306 Animal Genetics, Cell and Developmental Biology_AND_205 Medicine_AND_206 Neurosciences_AND_21 Biology_AND_22 Medicine","dataProvider","CC_AND_Copyrights_AND_Public Domain_AND_other","open","open","Licensing Policy","This library is a public and easily accessible resource database of images, videos, and animations of cells, capturing a wide diversity of organisms, cell types, and cellular processes. The Cell Image Library has been merged with ""Cell Centered Database"" in 2017. The purpose of the database is to advance research on cellular activity, with the ultimate goal of improving human health."
"r3d100000028","other","","https://datahub.io/","The Data Hub","1 Humanities and Social Sciences_AND_2 Life Sciences_AND_3 Natural Sciences_AND_4 Engineering Sciences","serviceProvider","ODC","open","open_AND_restricted","Privacy Policy","the Data Hub is a community-run catalogue of useful sets of data on the Internet. You can collect links here to data from around the web for yourself and others to use, or search for data that others have collected. Depending on the type of data (and its conditions of use), the Data Hub may also be able to store a copy of the data or host it in a database, and provide some basic visualisation tools."
"r3d100000033","disciplinary","","https://forestgeo.si.edu/","Forest Global Earth Observatory","2 Life Sciences_AND_203 Zoology_AND_20302 Evolution, Anthropology_AND_21 Biology","dataProvider","Copyrights","open","open","Smithsonian Institution's Privacy Statement_AND_Terms of Use","The Center for Tropical Forest Science (CTFS) is a global network of forest research plots committed to the study of tropical and temperate forest function and diversity. The multi-institutional network comprises more than forty forest research plots across the Americas, Africa, Asia, and Europe, with a strong focus on tropical regions. CTFS monitors the growth and survival of about 6 million trees of approximately 10,000 species."
"r3d100000034","disciplinary_AND_institutional","","https://cugir.library.cornell.edu/","Cornell University Geospatial Information Repository","3 Natural Sciences_AND_34 Geosciences (including Geography)","serviceProvider","other","open","open","Checklist for fair use_AND_Cornell University Library Public Policies_AND_Guidelines for Using Text, Images, Audio, and Video from Cornell University Library Collections","CUGIR is an active online repository in the National Spatial Data Clearinghouse program. CUGIR provides geospatial data and metadata for New York State, with special emphasis on those natural features relevant to agriculture, ecology, natural resources, and human-environment interactions. In order to provide the best possible access to geospatial data for New York State, CUGIR coordinates its activities with those of the New York State GIS Clearinghouse"
"r3d100000036","disciplinary","WDS","https://disc.gsfc.nasa.gov/","Goddard Earth Sciences Data and Information Services Center","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_31302 Oceanography_AND_34 Geosciences (including Geography)","dataProvider","Public Domain_AND_other","open","restricted","Certification of WDS Members_AND_GES DISC Data Policy_AND_ICSU World Data System Constitution_AND_NASA Data and Information Policy_AND_NASA Web Privacy Policy and Important Notices","One of twelve NASA Science Mission Directorate (SMD) Data Centers that provide Earth science data, information, and services to research scientists, applications scientists, applications users, and students. The GES DISC is the home (archive) of NASA Precipitation and Hydrology, as well as Atmospheric Composition and Dynamics remote sensing data and information. The DISC also houses the Modern Era Retrospective-Analysis for Research and Applications (MERRA) data assimilation datasets (generated by GSFC’s Global Modeling and Assimilation Office), and the North American Land Data Assimilation System (NLDAS) and Global Land Data Assimilation System (GLDAS) data products (both generated by GSFC's Hydrological Sciences Branch)."
"r3d100000037","disciplinary","other","https://daac.ornl.gov/","Oak Ridge National Laboratory Distributed Active Archive Center for Biogeochemical Dynamics","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_315 Geophysics and Geodesy_AND_318 Water Research_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","Public Domain","open","restricted","CoreTrustSeal assessment_AND_Data Management for Data Providers_AND_Data Product Citation Policy_AND_Privacy Policy","The Oak Ridge National Laboratory Distributed Active Archive Center (ORNL DAAC) for biogeochemical dynamics is one of the National Aeronautics and Space Administration (NASA) Earth Observing System Data and Information System (EOSDIS) data centers managed by the Earth Science Data and Information System (ESDIS) Project. The ORNL DAAC archives data produced by NASA's Terrestrial Ecology Program. The DAAC provides data and information relevant to biogeochemical dynamics, ecological data, and environmental processes, critical for understanding the dynamics relating to the biological, geological, and chemical components of Earth's environment."
"r3d100000038","disciplinary","other","https://data.aad.gov.au/","Australian Antarctic Data Centre","2 Life Sciences_AND_21 Biology_AND_3 Natural Sciences_AND_32 Physics_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC","open","open_AND_restricted","Conditions of Use_AND_Data Policy","The Australian Antarctic Data Centre (AADC) provides data collection and data management services in Australia's Antarctic Science Program. The AADC manages science data from Australia's Antarctic research, maps Australia's areas of interest in the Antarctic region, manages Australia's Antarctic state of the environment reporting, and provides advice and education and a range of other products."
"r3d100000039","disciplinary_AND_institutional","WDS","https://www.gbif.org/","Global Biodiversity Information Facility","2 Life Sciences_AND_202 Plant Sciences_AND_20202 Plant Ecology and Ecosystem Analysis_AND_203 Zoology_AND_20303 Animal Ecology, Biodiversity and Ecosystem Research_AND_21 Biology","dataProvider_AND_serviceProvider","CC_AND_CC0_AND_other","open","open","Data User Agreement_AND_Terms of use","GBIF is an international organisation that is working to make the world's biodiversity data accessible everywhere in the world. GBIF and its many partners work to mobilize the data, and to improve search mechanisms, data and metadata standards, web services, and the other components of an Internet-based information infrastructure for biodiversity.
GBIF makes available data that are shared by hundreds of data publishers from around the world. These data are shared according to the GBIF Data Use Agreement, which includes the provision that users of any data accessed through or retrieved via the GBIF Portal will always give credit to the original data publishers."
"r3d100000043","disciplinary","","https://databasin.org/","DataBasin","2 Life Sciences_AND_203 Zoology_AND_21 Biology_AND_3 Natural Sciences_AND_34 Geosciences (including Geography)","dataProvider","CC_AND_other","open","open_AND_restricted","Terms and Conditions_AND_Terms of Use","Data Basin is a science-based mapping and analysis platform that supports learning, research, and sustainable environmental stewardship."
"r3d100000044","other","","https://datadryad.org/stash","DRYAD","1 Humanities and Social Sciences_AND_12 Social and Behavioural Sciences_AND_2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_20105 General Genetics_AND_20107 Bioinformatics and Theoretical Biology_AND_202 Plant Sciences_AND_20202 Plant Ecology and Ecosystem Analysis_AND_203 Zoology_AND_20302 Evolution, Anthropology_AND_20305 Biochemistry and Animal Physiology_AND_204 Microbiology, Virology and Immunology_AND_20402 Microbial Ecology and Applied Microbiology_AND_20404 Virology_AND_207 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_21 Biology_AND_22 Medicine_AND_23 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_3 Natural Sciences_AND_314 Geology and Palaeontology_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC0_AND_other","open","embargoed_AND_open","Our community_AND_Publication policy_AND_Terms of Service","Dryad is an international repository of data underlying peer-reviewed scientific and medical literature, particularly data for which no specialized repository exists. The content is considered to be integral to the published research. All material in Dryad is associated with a scholarly publication"
"r3d100000045","disciplinary","","https://www.dataone.org/","DataONE","3 Natural Sciences_AND_34 Geosciences (including Geography)","serviceProvider","other","open","open_AND_restricted","","Data Observation Network for Earth (DataONE) is the foundation of new innovative environmental science through a distributed framework and sustainable cyberinfrastructure that meets the needs of science and society for open, persistent, robust, and secure access to well-described and easily discovered Earth observational data.
Supported by the U.S. National Science Foundation (Grant #OCI-0830944) as one of the initial DataNets, DataONE will ensure the preservation, access, use and reuse of multi-scale, multi-discipline, and multi-national science data via three primary cyberinfrastucture elements and a broad education and outreach program."
"r3d100000046","disciplinary_AND_institutional","","https://www.eea.europa.eu/data-and-maps","European Environment Agency, Datasets","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_318 Water Research_AND_34 Geosciences (including Geography)","dataProvider","CC_AND_Copyrights","open","open","Specific privacy statement","The European Environment Agency (EEA) is an agency of the European Union. Our task is to provide sound, independent information on the environment. We are a major information source for those involved in developing, adopting, implementing and evaluating environmental policy, and also the general public. Currently, the EEA has 33 member countries.
EEA's mandate is: To help the Community and member countries make informed decisions about improving the environment, integrating environmental considerations into economic policies and moving towards sustainability
To coordinate the European environment information and observation network (Eionet)"
"r3d100000049","other","","https://dc.zah.uni-heidelberg.de/potsdam/q/raw/info","Potsdam Carte du Ciel Plates","3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_32 Physics","dataProvider","CC_AND_other","open","restricted","Disclaimer_AND_Privacy","Publication of scans of photographic plates from the so-called ""Potsdam zone"" of the Carte du Ciel project (32 deg to 39 deg). A total of 977 plates of 2 square degree sky regions was observed and recorded between 1913 to 1924. Since Potsdam Observatory ended participation in the Carte du Ciel project, these observations were so far not analysed or published. Plates were scanned in by a flat bed scanner in 2007-2008. Limitations in astrometric precision as well are to be expected, and specific observational restrains apply, such as multiple exposures on certain plates (see literature)"
"r3d100010035","disciplinary","","https://cxc.cfa.harvard.edu/cda/","The Chandra Data Archive","3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_32 Physics","dataProvider","Copyrights","open","open","Terms of Use","The Chandra Data Archive (CDA) plays a central role in the operation of the Chandra X-ray Center (CXC) by providing support to the astronomical community in accessing Chandra data. Its primary role is one of storage and distribution of all data products including those that users of the observatory need to perform their scientific studies using Chandra data.
The CDA offers access to digital archives through powerful query engines, including VO-compliant interfaces. The CDA also serves as a permanent storage repository of contributed data products by authors who have processed images or other pertinent and valuable datasets that are essential to their publications."
"r3d100010050","disciplinary","other","https://rda.ucar.edu/","Research Data Archive at NCAR","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_31302 Oceanography_AND_315 Geophysics and Geodesy_AND_31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy_AND_318 Water Research_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_Copyrights","open","open_AND_restricted","CoreTrustSeal Assessment_AND_Terms of Use_AND_Terms of Use for UCAR Data Repositories","The Research Data Archive (RDA) at NCAR contains a large and diverse collection of meteorological and oceanographic observations, operational and reanalysis model outputs, and remote sensing datasets to support atmospheric and geosciences research, along with ancillary datasets, such as topography/bathymetry, vegetation, and land use."
"r3d100010051","disciplinary_AND_institutional","","https://dataverse.harvard.edu/","Harvard Dataverse","1 Humanities and Social Sciences_AND_111 Social Sciences_AND_112 Economics_AND_12 Social and Behavioural Sciences_AND_2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_21 Biology_AND_3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_32 Physics","dataProvider_AND_serviceProvider","CC0","open","open","API Terms of Use_AND_Terms of use","The Harvard Dataverse is open to all scientific data from all disciplines worldwide. It includes the world's largest collection of social science research data. It is hosting data for projects, archives, researchers, journals, organizations, and institutions."
"r3d100010052","other","","http://eaa.crcpress.com/","Encyclopedia of Astronomy and Astrophysics","3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_31101 Astrophysics and Astronomy_AND_32 Physics","serviceProvider","Copyrights","restricted","restricted","subscription information","This unique resource covers the entire field of astronomy and astrophysics and this online version includes the full text of over 2,750 articles, plus sophisticated search and retrieval functionality, links to the primary literature, and is frequently updated with new material. An active editorial team, headed by the Encyclopedia's editor-in-chief, Paul Murdin, oversees the continual commissioning, reviewing and loading of new and revised content.In a unique collaboration, Nature Publishing Group and Institute of Physics Publishing published the most extensive and comprehensive reference work in astronomy and astrophysics in both print and online formats. First published as a four volume print edition in 2001, the initial Web version went live in 2002, and contained the original print material and was rapidly supplemented with numerous updates and newly commissioned material. Since July 2006 the Encyclopedia is published solely by Taylor & Francis."
"r3d100010054","disciplinary_AND_institutional","","https://www.usgs.gov/products/data-and-tools/overview","U.S. Geological Survey","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_314 Geology and Palaeontology_AND_34 Geosciences (including Geography)","serviceProvider","Public Domain","open","open_AND_restricted","Open Data requirements_AND_Policies an notices_AND_Policy Principles_AND_USGS Data Management","USGS data and tools are the digital information in a format suitable for direct input to software that can analyze its meaning in the scientific, engineering, or business context for which the data were collected."
"r3d100010055","disciplinary_AND_institutional","","https://www.ecad.eu/","European Climate Assessment & Dataset project","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_34 Geosciences (including Geography)","serviceProvider","other","open","open_AND_restricted","data policy","Presented is information on changes in weather and climate extremes, as well as the daily dataset needed to monitor and analyse these extremes. map of participating countries.
Today, ECA&D is receiving data from 59 participants for 62 countries and the ECA dataset contains 33265 series of observations for 12 elements at 7512 meteorological stations throughout Europe and the Mediterranean (see Daily data > Data dictionary). 51% of these series is public, which means downloadable from this website for non-commercial research. Participation to ECA&D is open to anyone maintaining daily station data"
"r3d100010056","disciplinary","","https://www.coris.noaa.gov/","CoRIS","2 Life Sciences_AND_21 Biology_AND_3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31302 Oceanography_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","Copyrights","open","open_AND_restricted","disclaimer_AND_privacy policy","NOAA's Coral Reef Information System (CoRIS) is a web-based information portal that provides access to NOAA coral reef information and data products with emphasis on the U.S. states, territories and remote island areas. NOAA Coral Reef activities include coral reef mapping, monitoring and assessment; natural and socioeconomic research and modeling; outreach and education; and management and stewardship."
"r3d100010057","disciplinary","","http://ecrystals.chem.soton.ac.uk/","eCrystals","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_21 Biology_AND_3 Natural Sciences_AND_31 Chemistry","dataProvider_AND_serviceProvider","ODC","open","open","Rights for eCrystals_AND_The Open Definition","eCrystals - Southampton is the archive for Crystal Structures generated by the Southampton Chemical Crystallography Group and the EPSRC UK National Crystallography Service."
"r3d100010059","disciplinary_AND_institutional","","https://datashare.ed.ac.uk/handle/10283/2345","ShareGeo open","3 Natural Sciences_AND_317 Geography_AND_318 Water Research_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_ODC","open","open","Research Data Management Policy","ShareGeo Open was a repository of geospatial data, previously hosted by EDINA. ShareGeo Open has been discontinued, so its datasets have been migrated to this Edinburgh DataShare Collection, for preservation, in accordance with the agreement signed by all ShareGeo depositors."
"r3d100010060","disciplinary_AND_institutional","","https://openei.org/wiki/Main_Page","OpenEI","3 Natural Sciences_AND_32 Physics_AND_4 Engineering Sciences","dataProvider_AND_serviceProvider","CC_AND_CC0","open","open","OpenEI core content policies_AND_The Open Definition","The Open Energy Information (OpenEI.org) initiative is a free, open source knowledge-sharing platform created to facilitate access to data, models, tools, and information that accelerate the transition to clean energy systems through informed decisions. Sponsored by the Department of Energy, and developed by the National Renewable Energy Lab, in support of the Open Government Initiative, OpenEI strives to make energy-related data and information searchable, accessible, and useful to both people and machines"
"r3d100010061","disciplinary_AND_other","WDS","https://eosweb.larc.nasa.gov/","Atmospheric Science Data Center","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","Public Domain_AND_other","open","open","NASA Web Privacy Policy and Important Notices_AND_Policy statement","The Atmospheric Science Data Center (ASDC) at NASA Langley Research Center is responsible for processing, archiving, and distribution of NASA Earth science data in the areas of radiation budget, clouds, aerosols, and tropospheric chemistry.The ASDC specializes in atmospheric data important to understanding the causes and processes of global climate change and the consequences of human activities on the climate."
"r3d100010062","disciplinary_AND_other","","http://erc.epa.ie/safer/","SAFER-Data","3 Natural Sciences_AND_31 Chemistry_AND_32 Physics_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_other","open","open","Access to Information on the Environment_AND_Disclaimer_AND_Privacy policy","SAFER-Data is a web-based interface to the Environmental Data Archive maintained by the Environmental Research Centre (ERC) in the Environmental Protection Agency (EPA) of Ireland, who has responsibilities for a wide range of licensing, enforcement, monitoring and assessment activities associated with environmental protection."
"r3d100010063","disciplinary","other","https://eros.usgs.gov/","Earth Resources Observation and Science Center","3 Natural Sciences_AND_315 Geophysics and Geodesy_AND_32 Physics_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","other","open","restricted","Policies and Important Notices","Earth Resources Observation and Science (EROS) Center is a remotely sensed data management, systems development, and research field center for the U.S. Geological Survey's (USGS) Climate and Land Use Change Mission Area. The USGS is a bureau of the U.S. Department of the Interior. It currently houses one of the largest computer complexes in the Department of the Interior. EROS has approximately 600 government and contractor employees."
"r3d100010064","disciplinary","","http://esapubs.org/archive/","Ecological Archives","2 Life Sciences_AND_21 Biology_AND_23 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_3 Natural Sciences_AND_301 Molecular Chemistry_AND_30102 Organic Molecular Chemistry_AND_31 Chemistry","dataProvider","CC","open","open","Instructions for Authors",">>>!!!<<<   Ecological Archives through the end of 2015 will be hosted on FigShare once the transition to publishing with Wiley is completed. Thereafter, supplemental material may be hosted on Wiley Online, and/or data deposited with FigShare, Dryad, and other repositories. >>>!!!<<<   Ecological Archives publishes materials that are supplemental to articles that appear in the ESA journals (Ecology, Ecological Applications, Ecological Monographs, Ecosphere, Ecosystem Health and Sustainability and Bulletin of the Ecological Society of America), as well as peer-reviewed data papers with abstracts published in the printed journals. Three kinds of publications appear in Ecological Archives: appendices, supplements, and data papers."
"r3d100010066","other","","http://figshare.com/","figshare","1 Humanities and Social Sciences_AND_2 Life Sciences_AND_3 Natural Sciences_AND_4 Engineering Sciences","dataProvider_AND_serviceProvider","Apache License 2.0_AND_BSD_AND_CC_AND_CC0_AND_other","open","embargoed_AND_open","COPE principles of transparency and best practice in scholarly publishing_AND_Privacy Policy_AND_Using figshare","figshare allows researchers to publish all of their research outputs in an easily citable, sharable and discoverable manner. All file formats can be published, including videos and datasets. Optional peer review process. figshare uses creative commons licensing."
"r3d100010068","disciplinary","","https://gaw.kishou.go.jp/","World Data Centre for Greenhouse Gases","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31302 Oceanography_AND_315 Geophysics and Geodesy_AND_31501 Geophysics_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","other","open","restricted","GAW Data Policy_AND_WDCGG Contributor Manual","The WDCGG archives measurement data for greenhouse and related gases in the atmosphere and the ocean (58 gaseous species as of 24 May 2021). The data are classified into five categories according to the observation platforms or methods used.
Air observation at stationary platform (surface)
Vertical profile observation of air (tower)
Air observation by aircraft (aircraft)
Hydrographic sampling or observation of surface seawater and overlying air by ships (ship)
Satellite observations (satellite)"
"r3d100010069","disciplinary_AND_institutional","","https://gcmd.nasa.gov/","Global Change Master Directory","3 Natural Sciences_AND_34 Geosciences (including Geography)","serviceProvider","other","open","open","NASA web privacy policy and important notices","NASA's Global Change Master Directory (GCMD) holds Earth science data set and service descriptions, which cover subject areas within the Earth and environmental sciences.  The project mission is to assist researchers, policy makers, and the public in the discovery of and access to data, related services, and ancillary information (which includes descriptions of instruments and platforms) relevant to global change and Earth science research.  Within this mission, the directory also offers online authoring tools to providers of data and services, facilitating the capability to make their products available to the Earth science community."
"r3d100010070","disciplinary","","http://www.nothobranchius.info/","Nothobranchius furzeri Information Network","2 Life Sciences_AND_203 Zoology_AND_20306 Animal Genetics, Cell and Developmental Biology_AND_21 Biology","serviceProvider","other","open","open","","The species Nothobranchius furzeri possesses several characteristics which make it a particularly attractive model system for age research: Inbred line GRZ shows a captive lifespan of only three months. There is large variation in life-history traits between different isolates. Lifespan can be prolonged by environmental manipulations and drugs. The aim of this website is to provide information on N. furzeri and to foster the development of a group of interest which aims at creating a consortium to establish this organism as a model for developmental and age research."
