"re3data_ID","type","certificate","repositoryURL","repositoryName","subject","providerType","dataLicenseName","databaseAccessType","dataAccessType","policyName","description"
"r3d100010057","disciplinary","","http://ecrystals.chem.soton.ac.uk/","eCrystals","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_21 Biology_AND_3 Natural Sciences_AND_31 Chemistry","dataProvider_AND_serviceProvider","ODC","open","open","Rights for eCrystals_AND_The Open Definition","eCrystals - Southampton is the archive for Crystal Structures generated by the Southampton Chemical Crystallography Group and the EPSRC UK National Crystallography Service."
"r3d100010064","disciplinary","","http://esapubs.org/archive/","Ecological Archives","2 Life Sciences_AND_21 Biology_AND_23 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_3 Natural Sciences_AND_301 Molecular Chemistry_AND_30102 Organic Molecular Chemistry_AND_31 Chemistry","dataProvider","CC","open","open","Instructions for Authors",">>>!!!<<<   Ecological Archives through the end of 2015 will be hosted on FigShare once the transition to publishing with Wiley is completed. Thereafter, supplemental material may be hosted on Wiley Online, and/or data deposited with FigShare, Dryad, and other repositories. >>>!!!<<<   Ecological Archives publishes materials that are supplemental to articles that appear in the ESA journals (Ecology, Ecological Applications, Ecological Monographs, Ecosphere, Ecosystem Health and Sustainability and Bulletin of the Ecological Society of America), as well as peer-reviewed data papers with abstracts published in the printed journals. Three kinds of publications appear in Ecological Archives: appendices, supplements, and data papers."
"r3d100010070","disciplinary","","http://www.nothobranchius.info/","Nothobranchius furzeri Information Network","2 Life Sciences_AND_203 Zoology_AND_20306 Animal Genetics, Cell and Developmental Biology_AND_21 Biology","serviceProvider","other","open","open","","The species Nothobranchius furzeri possesses several characteristics which make it a particularly attractive model system for age research: Inbred line GRZ shows a captive lifespan of only three months. There is large variation in life-history traits between different isolates. Lifespan can be prolonged by environmental manipulations and drugs. The aim of this website is to provide information on N. furzeri and to foster the development of a group of interest which aims at creating a consortium to establish this organism as a model for developmental and age research."
"r3d100010071","disciplinary","","https://genome.jgi.doe.gov/portal/","DOE Joint Genome Institute Genome Web Portal","2 Life Sciences_AND_21 Biology_AND_3 Natural Sciences_AND_31 Chemistry","dataProvider_AND_serviceProvider","Copyrights","open","open","GOLD Data Usage Policy_AND_JGI Policies_AND_MycoCosm Data Usage Policy","The Department of Energy (DOE) Joint Genome Institute (JGI) is a national user facility with massive-scale DNA sequencing and analysis capabilities dedicated to advancing genomics for bioenergy and environmental applications. Beyond generating tens of trillions of DNA bases annually, the Institute develops and maintains data management systems and specialized analytical capabilities to manage and interpret complex genomic data sets, and to enable an expanding community of users around the world to analyze these data in different contexts over the web. The JGI Genome Portal provides a unified access point to all JGI genomic databases and analytical tools. A user can find all DOE JGI sequencing projects and their status, search for and download assemblies and annotations of sequenced genomes, and interactively explore those genomes and compare them with other sequenced microbes, fungi, plants or metagenomes using specialized systems tailored to each particular class of organisms.
Databases: Genome Online Database (GOLD), Integrated Microbial Genomes (IGM), MycoCosm,  Phytozome"
"r3d100010072","disciplinary_AND_other","","http://geodata.grid.unep.ch/","Environmental data explorer","2 Life Sciences_AND_203 Zoology_AND_207 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_21 Biology_AND_23 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_3 Natural Sciences_AND_31 Chemistry_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_31302 Oceanography_AND_315 Geophysics and Geodesy_AND_31501 Geophysics_AND_31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy_AND_317 Geography_AND_31702 Human Geography_AND_318 Water Research_AND_32 Physics_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","other","open","open_AND_restricted","Conditions for Use of this Application and Data therein_AND_data policy","The Environmental Data Explorer is the authoritative source for data sets used by UNEP and its partners in the Global Environment Outlook (GEO) report and other integrated environment assessments. Its online database holds more than 500 different variables, as national, subregional, regional and global statistics or as geospatial data sets (maps), covering themes like Freshwater, Population, Forests, Emissions, Climate, Disasters, Health and GDP. Display them on-the-fly as maps, graphs, data tables or download the data in different formats"
"r3d100010078","institutional_AND_other","","https://www.data.gov/","Data.gov","1 Humanities and Social Sciences_AND_111 Social Sciences_AND_112 Economics_AND_113 Jurisprudence_AND_12 Social and Behavioural Sciences_AND_2 Life Sciences_AND_3 Natural Sciences_AND_34 Geosciences (including Geography)_AND_4 Engineering Sciences","dataProvider_AND_serviceProvider","CC","open","open","data policy_AND_privacy policy","Data.gov increases the ability of the public to easily find, download, and use datasets that are generated and held by the Federal Government. Data.gov provides descriptions of the Federal datasets (metadata), information about how to access the datasets, and tools that leverage government datasets"
"r3d100010088","disciplinary_AND_institutional","","https://obis.org/","Ocean Biodiversity Information System","2 Life Sciences_AND_203 Zoology_AND_20302 Evolution, Anthropology_AND_20305 Biochemistry and Animal Physiology_AND_21 Biology_AND_3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31302 Oceanography_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_CC0","open","open","Data Policy_AND_Data access","OBIS strives to document the ocean's diversity, distribution and abundance of life. Created by the Census of Marine Life, OBIS is now part of the Intergovernmental Oceanographic Commission (IOC) of UNESCO, under its International Oceanographic Data and Information Exchange (IODE) programme"
"r3d100010090","disciplinary_AND_institutional","","http://iubioarchive.bio.net/","IUBio-Archive","2 Life Sciences_AND_21 Biology","dataProvider_AND_serviceProvider","other","open","open","BIOSCI/Bionet Terms of Use","IUBio Archive is an archive of biology data and software.  The archive includes items to browse, search and fetch public software, molecular data, biology news and documents."
"r3d100010091","disciplinary","","http://jaspar.genereg.net/","JASPAR","2 Life Sciences_AND_21 Biology","dataProvider","other","open","open","Documentation_AND_JASPAR data submission","JASPAR is the leading open-access database of matrix profiles describing the DNA-binding patterns of transcription factors and other proteins interacting with DNA in a sequence-specific manner."
"r3d100010092","disciplinary_AND_other","","https://knb.ecoinformatics.org/","KNB Data Repository","2 Life Sciences_AND_202 Plant Sciences_AND_20201 Plant Systematics and Evolution_AND_20202 Plant Ecology and Ecosystem Analysis_AND_203 Zoology_AND_20302 Evolution, Anthropology_AND_20303 Animal Ecology, Biodiversity and Ecosystem Research_AND_204 Microbiology, Virology and Immunology_AND_20404 Virology_AND_21 Biology_AND_22 Medicine_AND_23 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_3 Natural Sciences_AND_314 Geology and Palaeontology_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_CC0","open","open_AND_restricted","Best Practices DataOne_AND_Data Management Planning","The KNB Data Repository is an international repository intended to facilitate ecological, environmental and earth science research in the broadest senses.  For scientists, the KNB Data Repository is an efficient way to share, discover, access and interpret complex ecological, environmental, earth science, and sociological data and the software used to create and manage those data. Due to rich contextual information provided with data in the KNB, scientists are able to integrate and analyze data with less effort. The data originate from a highly-distributed set of field stations, laboratories, research sites, and individual researchers. The KNB supports rich, detailed metadata to promote data discovery as well as automated and manual integration of data into new projects. The KNB supports a rich set of modern repository services, including the ability to assign Digital Object Identifiers (DOIs) so data sets can be confidently referenced in any publication, the ability to track the versions of datasets as they evolve through time, and metadata to establish the provenance relationships between source and derived data."
"r3d100010097","disciplinary_AND_institutional","","https://mansfeld.ipk-gatersleben.de/apex/f?p=185:3","Mansfeld's World Database of Agriculture and Horticultural Crops","2 Life Sciences_AND_202 Plant Sciences_AND_207 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_20701 Soil Sciences_AND_20702 Plant Cultivation_AND_20703 Plant Nutrition_AND_20704 Ecology of Agricultural Landscapes_AND_20705 Plant Breeding_AND_21 Biology_AND_23 Agriculture, Forestry, Horticulture and Veterinary Medicine","dataProvider_AND_serviceProvider","Copyrights","open","open","Disclaimer","The Mansfeld's World Database of Agriculture and Horticultural Crops is an online database. As a contribution to the project ""Federal Information System on Genetic Resources"" (BIG, http://www.big-flora.de/). It reflects the contents of ""Mansfeld's Encyclopedia of Agricultural and Horticultural Crops"" (Hanelt and IPK 2001) and contains information on 6,100 crop plant species, excluding forestry and ornamental plants. Each species entry provides nomenclature and synonymy, common names in different languages, spontaneous distribution and regions of cultivation, uses, images, references, but also the ancestral species and notes on the phylogeny, variation and history."
"r3d100010100","disciplinary","","http://moltable.ncl.res.in/web/guest","MolTable","2 Life Sciences_AND_205 Medicine_AND_20508 Pharmacy_AND_20509 Pharmacology_AND_22 Medicine_AND_3 Natural Sciences_AND_301 Molecular Chemistry_AND_302 Chemical Solid State and Surface Research_AND_31 Chemistry","dataProvider_AND_serviceProvider","other","open","open","","<<<<!! The database is archived: https://web.archive.org/web/20071012173502/http://moltable.ncl.res.in/index.htm  !!>>>> 
MolTable: An Open Access (Molecule Table) Portal for ""Advanced Chemoinformatics Research, Training and Services"""
"r3d100010101","disciplinary","","https://morphobank.org/","MorphoBank","2 Life Sciences_AND_203 Zoology_AND_20301 Systematics and Morphology_AND_20302 Evolution, Anthropology_AND_21 Biology_AND_3 Natural Sciences_AND_314 Geology and Palaeontology_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_Copyrights","open","embargoed_AND_open","Policy on copyrighted media","MorphoBank is a web application with tools and archives for evolutionary research, specifically systematics (the science of determining the evolutionary relationships among species). Study of the phenotype, which is often visually-based, is central to contemporary systematics
and taxonomic research. MorphoBank was developed specifically to provide much needed tools for
the expansion and modernization of phylogenetic work on the phenotype"
"r3d100010104","institutional_AND_other","","http://nebc.nerc.ac.uk/nebc_website_frozen/nebc.nerc.ac.uk//data/envbase.html","EnvBase","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_20107 Bioinformatics and Theoretical Biology_AND_21 Biology","dataProvider_AND_serviceProvider","other","open","open_AND_restricted","Data policy_AND_NEBC data policy",">>>!!<<<This is an archive of the old NEBC site from nebc.nerc.ac.uk and is no longer updated. For new information regarding NERC Environmental Omics and the Bio-Linux system please see the EOS site at http://environmentalomics.org.   >>>!!!<<<      
Ongoing NEBC activities, including the development of Bio-Linux, are being moved into the new EOS programme http://environmentalomics.org/portfolio/big-data-infrastructure/ . Once the current material from this website has been moved into EOS, this NEBC site will remain on-line as an archive. 
EnvBase is the searchable index to the data deposited through the NEBC, as well as related NERC experimental data.     At present this is chiefly from the grants funded by the NERC Environmental Genomics Science Programme and the subsequent Post-genomics and Proteomics Science Programme, but more data from ongoing projects continues to be added"
"r3d100010106","disciplinary","","https://neuinfo.org/","Neuroscience Information Framework","2 Life Sciences_AND_206 Neurosciences_AND_22 Medicine","dataProvider_AND_serviceProvider","CC","open","open","Terms of Use","The Neuroscience Information Framework is a dynamic index of data, materials, and tools. Please note, we do not accept direct data deposits, but if you wish to make your data repository or database available through our search, please contact us. An initiative of the NIH Blueprint for Neuroscience Research, NIF advances neuroscience research by enabling discovery and access to public research data and tools worldwide through an open source, networked environment."
"r3d100010107","disciplinary","","http://neuromorpho.org/","NeuroMorpho.Org","2 Life Sciences_AND_203 Zoology_AND_20301 Systematics and Morphology_AND_206 Neurosciences_AND_21 Biology_AND_22 Medicine","dataProvider_AND_serviceProvider","other","open","open","Terms of use","NeuroMorpho.Org is a centrally curated inventory of digitally reconstructed neurons associated with peer-reviewed publications. It contains contributions from over 80 laboratories worldwide and is continuously updated as new morphological reconstructions are collected, published, and shared. To date, NeuroMorpho.Org is the largest collection of publicly accessible 3D neuronal reconstructions and associated metadata which can be used for detailed single cell simulations."
"r3d100010114","disciplinary_AND_institutional","","https://open-research-data.zalf.de/default.aspx","Open Research Data","1 Humanities and Social Sciences_AND_111 Social Sciences_AND_12 Social and Behavioural Sciences_AND_2 Life Sciences_AND_203 Zoology_AND_20303 Animal Ecology, Biodiversity and Ecosystem Research_AND_207 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_20701 Soil Sciences_AND_20704 Ecology of Agricultural Landscapes_AND_21 Biology_AND_23 Agriculture, Forestry, Horticulture and Veterinary Medicine_AND_3 Natural Sciences_AND_318 Water Research_AND_31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC","open","open","ZALF Open-Research-Data Privacy Policy","Attention!
Data sets are not updated anymore.
Please, visit the BonaRes Repositor​ium​ for new datasets.
Open Research Data provides quality assessed data and their metadata such as context information on measurement objectives, equipment, methods, testing and investigation areas. The purpose of the repository is to secure quality, integrity and long-term availability of landscape and ecosystem research data as well as to enhance accessibility of free data from ZALF long-term monitoring campaigns, landscape laboratories (Agro-ScapeLabs), field trials and experiments.
The Leibniz Centre for Agricultural Landscape Research (ZALF) explores ecosystems in agricultural landscapes and the development of ecologically and economically viable land use systems. ZALF combines scientific expertise from agricultural science, geosciences, biosciences and socio-economics."
"r3d100010117","disciplinary","","http://fossilworks.org/?a=home","fossilworks","2 Life Sciences_AND_202 Plant Sciences_AND_203 Zoology_AND_21 Biology_AND_3 Natural Sciences_AND_314 Geology and Palaeontology_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","Copyrights_AND_Public Domain_AND_other","open","open_AND_restricted","Data Ownership","Fossilworks is a web-based portal to the Paleobiology Database. Fossilworks is the original public interface to the PaleoDB and is housed at Macquarie. It is a non-governmental, non-profit public resource. Its purpose is to provide global, collection-based occurrence and taxonomic data for marine and terrestrial animals and plants of any geological age, as well as web-based software for statistical analysis of the data. The project's wider, long-term goal is to encourage collaborative efforts to answer large-scale paleobiological questions by developing a useful database infrastructure and bringing together large data sets."
"r3d100010120","disciplinary","other","https://www.bas.ac.uk/data/uk-pdc/","UK Polar Data Centre","2 Life Sciences_AND_21 Biology_AND_3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_34 Geosciences (including Geography)","serviceProvider","CC_AND_Copyrights_AND_OGL","open","open","CoreTrustSeal assessment UK Polar Data Centre_AND_Data Policy_AND_NERC Data policy","The UK Polar Data Centre (UK PDC) is the focal point for Arctic and Antarctic environmental data management in the UK. Part of the Natural Environmental Research Council’s (NERC) network of environmental data centres and based at the British Antarctic Survey, it coordinates the management of polar data from UK-funded research and supports researchers in complying with national and international data legislation and policy."
"r3d100010123","disciplinary","","https://apex.ipk-gatersleben.de/apex/f?p=269:111:::NO:::","MetaCrop","2 Life Sciences_AND_202 Plant Sciences_AND_21 Biology","dataProvider","Copyrights","open","open","Imprint","MetaCrop is a database that summarizes diverse information about metabolic pathways in crop plants and allows automatic export of information for the creation of detailed metabolic models.  MetaCrop is a database that contains manually curated, highly detailed information about metabolic pathways in crop plants, including location information, transport processes and reaction kinetics."
"r3d100010126","disciplinary_AND_other","","https://www.gisaid.org/","GISAID","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_204 Microbiology, Virology and Immunology_AND_205 Medicine_AND_20501 Epidemiology, Medical Biometry, Medical Informatics_AND_20508 Pharmacy_AND_20509 Pharmacology_AND_21 Biology_AND_22 Medicine","dataProvider_AND_serviceProvider","other","open","open","GISAID EpiFlu™ Database Access Agreement","The GISAID Initiative promotes the international sharing of all influenza virus sequences, related clinical and epidemiological data associated with human viruses, and geographical as well as species-specific data associated with avian and other animal viruses, to help researchers understand how the viruses evolve, spread and potentially become pandemics. 
*** GISAID does so by overcoming disincentives/hurdles or restrictions, which discourage or prevented sharing of influenza data prior to formal publication.
*** The Initiative ensures that open access to data in GISAID is provided free-of-charge and to everyone, provided individuals identify themselves and agree to uphold the GISAID sharing mechanism governed through its Database Access Agreement. GISAID calls on all users to agree to the basic premise of upholding scientific etiquette, by acknowledging the originating laboratories providing the specimen and the submitting laboratories who generate the sequence data, ensuring fair exploitation of results derived from the data, and that all users agree that no restrictions shall be attached to data submitted to GISAID, to promote collaboration among researchers on the basis of open sharing of data and respect for all rights and interests."
"r3d100010129","disciplinary","","https://pubchem.ncbi.nlm.nih.gov/","PubChem","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_21 Biology_AND_3 Natural Sciences_AND_31 Chemistry","dataProvider_AND_serviceProvider","Copyrights_AND_Public Domain_AND_other","open","embargoed_AND_open","NLM PubChem project data submission policy(DSP)_AND_Privacy policy","Pubchem contains 3 databases. 1. PubChem BioAssay: The PubChem BioAssay Database contains bioactivity screens of chemical substances described in PubChem Substance. It provides searchable descriptions of each bioassay, including descriptions of the conditions and readouts specific to that screening procedure. 2. PubChem Compound: The PubChem Compound Database contains validated chemical depiction information provided to describe substances in PubChem Substance. Structures stored within PubChem Compounds are pre-clustered and cross-referenced by identity and similarity groups. 3. PubChem Substance. The PubChem Substance Database contains descriptions of samples, from a variety of sources, and links to biological screening results that are available in PubChem BioAssay. If the chemical contents of a sample are known, the description includes links to PubChem Compound."
"r3d100010131","disciplinary","","http://ccdb.wishartlab.com/","CyberCell Database","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_204 Microbiology, Virology and Immunology_AND_21 Biology_AND_22 Medicine_AND_3 Natural Sciences_AND_31 Chemistry","dataProvider","CC","open","open","Privacy Policy (für CCDB u. CC3D)","The CyberCell database (CCDB) is a comprehensive collection of detailed enzymatic, biological, chemical, genetic, and molecular biological data about E. coli (strain K12, MG1655). It is intended to provide sufficient information and querying capacity for biologists and computer scientists to use computers or detailed mathematical models to simulate all or part of a bacterial cell at a nanoscopic (10-9 m), mesoscopic (10-8 m).The CyberCell database CCDB actually consists of 4 browsable databases: 1) the main CyberCell database (CCDB - containing gene and protein information), 2) the 3D structure database (CC3D – containing information for structural proteomics), 3) the RNA database (CCRD – containing tRNA and rRNA information), and 4) the metabolite database (CCMD – containing metabolite information). Each of these databases is accessible through hyperlinked buttons located at the top of the CCDB homepage. All CCDB sub-databases are fully web enabled, permitting a wide variety of interactive browsing, search and display operations. and microscopic (10-6 m) level."
"r3d100010134","disciplinary","other","https://www.pangaea.de/","PANGAEA","2 Life Sciences_AND_21 Biology_AND_3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31302 Oceanography_AND_314 Geology and Palaeontology_AND_31401 Geology and Palaeontology_AND_315 Geophysics and Geodesy_AND_31501 Geophysics_AND_316 Geochemistry, Mineralogy and Crystallography_AND_31601 Geochemistry, Mineralogy and Crystallography_AND_34 Geosciences (including Geography)","dataProvider","CC","open","open","CoreTrustSeal assessment_AND_Terms of Use","PANGAEA - Data Publisher for Earth & Environmental Sciences has an almost 30-year history as an open-access library for archiving, publishing, and disseminating georeferenced data from the Earth, environmental, and biodiversity sciences. Originally evolving from a database for sediment cores, it is operated as a joint facility of the Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research (AWI) and the Center for Marine Environmental Sciences (MARUM) at the University of Bremen. PANGAEA holds a mandate from the World Meteorological Organization (WMO) and is accredited as a World Radiation Monitoring Center (WRMC). It was further accredited as a World Data Center by the International Council for Science (ICS) in 2001 and has been certified with the Core Trust Seal since 2019. The successful cooperation between PANGAEA and the publishing industry along with the correspondent technical implementation enables the cross-referencing of scientific publications and datasets archived as supplements to these publications. PANGAEA is the recommended data repository of numerous international scientific journals."
"r3d100010135","disciplinary","","https://kadonis.org/","Karlsruhe Astrophysical Database of Nucleosynthesis in Stars","2 Life Sciences_AND_205 Medicine_AND_20530 Radiology and Nuclear Medicine_AND_22 Medicine_AND_3 Natural Sciences_AND_308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas_AND_309 Particles, Nuclei and Fields_AND_311 Astrophysics and Astronomy_AND_32 Physics","dataProvider","Public Domain","open","open","KADoNiS-p database","KADoNiS-p database:
The KADoNiS project is an online database for cross sections relevant to the s-process and p-process (γ-process). The present p-process library includes all available experimental data from (p,γ), (p,n), (α,γ), (α,n), and (α,p) reactions between 70Ge and 209Bi in or close to the respective Gamow window."
"r3d100010137","disciplinary","","https://wwwdev.ebi.ac.uk/pride/","PRoteomics IDEntifications Database","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_20101 Biochemistry_AND_20107 Bioinformatics and Theoretical Biology_AND_21 Biology_AND_3 Natural Sciences_AND_304 Analytical Chemistry, Method Development (Chemistry)_AND_30401 Analytical Chemistry, Method Development (Chemistry)_AND_31 Chemistry","dataProvider","CC","open","open_AND_restricted","Terms of use","The PRIDE PRoteomics IDEntifications database is a centralized, standards compliant, public data repository for proteomics data, including protein and peptide identifications, post-translational modifications and supporting spectral evidence. PRIDE encourages and welcomes direct user submissions of mass spectrometry data to be published in peer-reviewed publications."
"r3d100010151","institutional_AND_other","DSA","https://www.cines.fr/en/long-term-preservation/","PAC - Archiving Platform CINES","1 Humanities and Social Sciences_AND_2 Life Sciences_AND_3 Natural Sciences_AND_4 Engineering Sciences","dataProvider_AND_serviceProvider","other","restricted","closed_AND_restricted","Charte de bon usage des ressources informatiques du cines_AND_Implementation of the Data Seal of Approval_AND_RENATER","CINES is the French national long-term preservation service provider for Higher Education and Research: more than 20 institutions (universities, librairies, labs) archive their digital heritage at CINES so that it's preserved over time in a secure, dedicated environment. This includes documents such as PhD theses or publications, digitized ancient/rare books, satellite imagery, 3D/vidéos/image galleries, datasets, etc."
"r3d100010153","disciplinary","","http://vegbank.org/vegbank/index.jsp","VegBank","2 Life Sciences_AND_202 Plant Sciences_AND_20201 Plant Systematics and Evolution_AND_20202 Plant Ecology and Ecosystem Analysis_AND_21 Biology","serviceProvider","Copyrights_AND_other","open","open_AND_restricted","Guidelines for Describing Associations and Alliances of the U.S. National Vegetation Classification_AND_Privacy policy_AND_VegBank Use Policy - Intellectual property rights and disclaimers","VegBank is the vegetation plot database of the Ecological Society of America's Panel on Vegetation Classification. VegBank consists of three linked databases that contain  the actual plot records,  vegetation types recognized in the U.S. National Vegetation Classification and other vegetation types submitted by users, and  all plant taxa recognized by ITIS/USDA as well as all other plant taxa recorded in plot records. Vegetation records, community types and plant taxa may be submitted to VegBank and may be subsequently searched, viewed, annotated, revised, interpreted, downloaded, and cited. VegBank receives its data from the VegBank community of users."
