"id","title","isOpenAccess","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","journal.title","license"
"29956270","Data Mining: Applying the AD&FTD Mutation Database to Progranulin.","N","Y","N","Y","N","Methods in molecular biology (Clifton, N.J.)",NA
"34025933","AddictGene: An integrated knowledge base for differentially expressed genes associated with addictive substance.","Y","Y","N","Y","N","Computational and structural biotechnology journal","cc by-nc-nd"
"31648087","AdditiveChem: A comprehensive bioinformatics knowledge-base for food additive chemicals.","N","Y","N","Y","N","Food chemistry",NA
"33401309","ADeditome provides the genomic landscape of A-to-I RNA editing in Alzheimer's disease. ","N","Y","N","Y","N","Briefings in bioinformatics",NA
"22080511","ADHDgene: a genetic database for attention deficit hyperactivity disorder.","Y","Y","N","Y","Y","Nucleic acids research","cc by-nc"
"23092397","admetSAR: a comprehensive source and free tool for assessment of chemical ADMET properties.","N","Y","N","Y","N","Journal of chemical information and modeling",NA
"27507885","ADPriboDB: The database of ADP-ribosylated proteins.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"25361966","ADReCS: an ontology database for aiding standardization and hierarchical classification of adverse drug reaction terms.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"32291734","The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords.","N","N","N","Y","N","Behavior research methods",NA
"22682155","European and international collaboration in affinity proteomics.","N","Y","N","Y","N","New biotechnology",NA
"25048123","Antigen-Antibody Interaction Database (AgAbDb): a compendium of antigen-antibody interactions.","N","Y","N","N","N","Methods in molecular biology (Clifton, N.J.)",NA
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"24217911","AgeFactDB--the JenAge Ageing Factor Database--towards data integration in ageing research.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"26602690","Aging Chart: a community resource for rapid exploratory pathway analysis of age-related processes.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"30231853","AgriSeqDB: an online RNA-Seq database for functional studies of agriculturally relevant plant species.","Y","Y","N","Y","N","BMC plant biology","cc by"
"22084200","AH-DB: collecting protein structure pairs before and after binding.","Y","Y","N","Y","Y","Nucleic acids research","cc by-nc"
"28376796","AHCODA-DB: a data repository with web-based mining tools for the analysis of automated high-content mouse phenomics data.","Y","Y","N","N","N","BMC bioinformatics","cc by"
"25392419","AHTPDB: a comprehensive platform for analysis and presentation of antihypertensive peptides.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"31123286","AICD: an integrated anti-inflammatory compounds database for drug discovery.","Y","Y","N","Y","N","Scientific reports","cc by"
"21148158","Translational research network and patient registry for auto-inflammatory diseases.","N","Y","N","N","N","Rheumatology (Oxford, England)",NA
"26644461","ALCOdb: Gene Coexpression Database for Microalgae.","Y","Y","N","Y","Y","Plant & cell physiology","cc by"
"25853886","ALDB: a domestic-animal long noncoding RNA database.","Y","Y","N","Y","Y","PloS one","cc by"
"30357390","ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"24556904","In silico identification of transcription factors in Medicago sativa using available transcriptomic resources.","N","Y","N","N","N","Molecular genetics and genomics : MGG",NA
"34361108","alfaNET: A Database of Alfalfa-Bacterial Stem Blight Protein-Protein Interactions Revealing the Molecular Features of the Disease-causing Bacteria. ","Y","Y","N","Y","Y","International journal of molecular sciences","cc by"
"22039151","ALFRED: an allele frequency resource for research and teaching.","Y","Y","N","Y","Y","Nucleic acids research","cc by-nc"
"28069893","Alga-PrAS (Algal Protein Annotation Suite): A Database of Comprehensive Annotation in Algal Proteomes.","Y","Y","N","Y","N","Plant & cell physiology","cc by"
"24628857","AlgaePath: comprehensive analysis of metabolic pathways using transcript abundance data from next-generation sequencing in green algae.","Y","Y","N","Y","N","BMC genomics","cc by"
"22659196","Alkamid database: Chemistry, occurrence and functionality of plant N-alkylamides.","N","Y","N","Y","N","Journal of ethnopharmacology",NA
"23193282","Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"25097382","AllergenPro: an integrated database for allergenicity analysis and prediction.","Y","Y","N","Y","N","Bioinformation",NA
"21498548","Allie: a database and a search service of abbreviations and long forms.","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by-nc"
"22559261","AlliumMap-A comparative genomics resource for cultivated Allium vegetables.","Y","Y","N","Y","Y","BMC genomics","cc by"
"30365033","AlloMAPS: allosteric mutation analysis and polymorphism of signaling database.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"33852582","AlnC: An extensive database of long non-coding RNAs in angiosperms.","Y","Y","N","Y","N","PloS one","cc by"
"34316271","Virtual Herbarium ALTB: collection of vascular plants of the Altai Mountain Country.","Y","Y","N","Y","Y","Biodiversity data journal","cc by"
"21880703","AluHunter: a database of potentially polymorphic Alu insertions for use in primate phylogeny and population genetics.","N","Y","N","Y","N","Bioinformatics (Oxford, England)",NA
"25432889","AlzBase: an Integrative Database for Gene Dysregulation in Alzheimer's Disease.","N","Y","N","Y","N","Molecular neurobiology",NA
"22647208","AlzPathway: a comprehensive map of signaling pathways of Alzheimer's disease.","Y","Y","N","Y","N","BMC systems biology","cc by"
"34335304","Amadis: A Comprehensive Database for Association Between Microbiota and Disease.","Y","Y","N","Y","N","Frontiers in physiology","cc by"
"25762455","amamutdb.no: A relational database for MAN2B1 allelic variants that compiles genotypes, clinical phenotypes, and biochemical and structural data of mutant MAN2B1 in α-mannosidosis.","N","Y","Y","N","N","Human mutation",NA
"32193422","A database of freshwater fish species of the Amazon Basin.","Y","Y","N","Y","Y","Scientific data","cc by"
"23317704","AMDD: antimicrobial drug database.","Y","Y","N","Y","N","Genomics, proteomics & bioinformatics","cc by-nc-sa"
"26828034","AmphibiaChina: an online database of Chinese Amphibians.","N","Y","N","N","N","Dong wu xue yan jiu = Zoological research",NA
"30247677","AmtDB: a database of ancient human mitochondrial genomes.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"31094220","AmyCo: the amyloidoses collection.","N","Y","N","Y","N","Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis",NA
"26088800","AmyLoad: website dedicated to amyloidogenic protein fragments.","N","Y","N","Y","N","Bioinformatics (Oxford, England)",NA
"29040693","AmyPro: a database of proteins with validated amyloidogenic regions.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"32765587","ABC-GWAS: Functional Annotation of Estrogen Receptor-Positive Breast Cancer Genetic Variants.","Y","Y","N","Y","Y","Frontiers in genetics","cc by"
"30371900","Ancestral Genomes: a resource for reconstructed ancestral genes and genomes across the tree of life.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"31347432","ANDB: Development of a Database Based on a Global Survey of Literature on Areca Nut and Associated Health Effects.","N","Y","N","Y","N","Substance use & misuse",NA
"27582018","ANGIOGENES: knowledge database for protein-coding and noncoding RNA genes in endothelial cells.","Y","Y","N","Y","N","Scientific reports","cc by"
"30937442","The sncRNA Zoo: a repository for circulating small noncoding RNAs in animals.","Y","Y","Y","Y","Y","Nucleic acids research","cc by-nc"
"32986825","Animal-APAdb: a comprehensive animal alternative polyadenylation database.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"31584087","Animal-ImputeDB: a comprehensive database with multiple animal reference panels for genotype imputation.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Y","Y","Y","Y","N","Nucleic acids research","cc by"
"21904438","Antagomirbase- a putative antagomir database.","Y","Y","N","Y","N","Bioinformation",NA
"33996073","Drug-drug interaction database for safe prescribing of systemic antifungal agents.","Y","Y","N","Y","N","Therapeutic advances in infectious disease","cc by-nc"
"32584882","ACD: Antimicrobial chemotherapeutics database.","Y","Y","N","Y","N","PloS one","cc by"
"30639529","Catalysing the way towards antimicrobial effectiveness: A systematic analysis and a new online resource for antimicrobial-enzyme combinations against Pseudomonas aeruginosa and Staphylococcus aureus.","N","Y","N","Y","N","International journal of antimicrobial agents",NA
"27924032","The antiSMASH database, a comprehensive database of microbial secondary metabolite biosynthetic gene clusters.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"27671474","ANTISTAPHYBASE: database of antimicrobial peptides (AMPs) and essential oils (EOs) against methicillin-resistant Staphylococcus aureus (MRSA) and Staphylococcus aureus.","N","Y","N","N","N","Archives of microbiology",NA
"28784999","AOD: the antioxidant protein database.","Y","Y","N","Y","Y","Scientific reports","cc by"
"31978081","All of gene expression (AOE): An integrated index for public gene expression databases.","Y","Y","N","Y","Y","PloS one","cc by"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","Y","Y","N","Y","Y","Nucleic acids research","cc by"
"25052703","APADB: a database for alternative polyadenylation and microRNA regulation events. ","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"25378337","APASdb: a database describing alternative poly(A) sites and selection of heterogeneous cleavage sites downstream of poly(A) signals.","Y","Y","Y","Y","N","Nucleic acids research","cc by"
"30715274","APID database: redefining protein-protein interaction experimental evidences and binary interactomes. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"28413782","APMicroDB: A microsatellite database of <i>Acyrthosiphon pisum</i>.","Y","Y","N","Y","Y","Genomics data","cc by-nc-nd"
"26861916","ApoCanD: Database of human apoptotic proteins in the context of cancer.","Y","Y","N","Y","Y","Scientific reports","cc by"
"22067098","ApoptoProteomics, an integrated database for analysis of proteomics data obtained from apoptotic cells.","N","Y","N","Y","Y","Molecular & cellular proteomics : MCP",NA
"31695717","AppleMDO: A Multi-Dimensional Omics Database for Apple Co-Expression Networks and Chromatin States.","Y","Y","N","Y","Y","Frontiers in plant science","cc by"
"33643383","Abiotic Stress-Responsive miRNA and Transcription Factor-Mediated Gene Regulatory Network in <i>Oryza sativa</i>: Construction and Structural Measure Study.","Y","Y","N","Y","N","Frontiers in genetics","cc by"
"34556150","AprGPD: the apricot genomic and phenotypic database.","Y","Y","N","Y","N","Plant methods","cc by"
"22434840","Aptamer Base: a collaborative knowledge base to describe aptamers and SELEX experiments.","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by-nc"
"28095775","ARA-PEPs: a repository of putative sORF-encoded peptides in Arabidopsis thaliana.","Y","Y","Y","Y","Y","BMC bioinformatics","cc by"
"24272250","RARGE II: an integrated phenotype database of Arabidopsis mutant traits using a controlled vocabulary.","Y","Y","Y","Y","N","Plant & cell physiology","cc by"
"22345505","ANAP: an integrated knowledge base for Arabidopsis protein interaction network analysis.","N","Y","N","Y","N","Plant physiology",NA
"29069336","ArachnoServer 3.0: an online resource for automated discovery, analysis and annotation of spider toxins.","N","Y","N","Y","N","Bioinformatics (Oxford, England)",NA
"29059333","The AraGWAS Catalog: a curated and standardized Arabidopsis thaliana GWAS catalog.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"25487439","An annotated database of Arabidopsis mutants of acyl lipid metabolism.","Y","Y","N","Y","N","Plant cell reports","cc by"
"25355510","AraNet v2: an improved database of co-functional gene networks for the study of Arabidopsis thaliana and 27 other nonmodel plant species.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"22760305","AraPath: a knowledgebase for pathway analysis in Arabidopsis.","N","Y","N","Y","Y","Bioinformatics (Oxford, England)",NA
"25414324","Araport: the Arabidopsis information portal.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"27995664","AraQTL - workbench and archive for systems genetics in Arabidopsis thaliana.","N","Y","N","Y","N","The Plant journal : for cell and molecular biology",NA
"24265221","ArchDB 2014: structural classification of loops in proteins.","Y","Y","N","N","N","Nucleic acids research","cc by"
"29077946","ARED-Plus: an updated and expanded database of AU-rich element-containing mRNAs and pre-mRNAs.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"26602692","AREsite2: an enhanced database for the comprehensive investigation of AU/GU/U-rich elements.","Y","Y","N","Y","Y","Nucleic acids research","cc by"
"34738791","AroCageDB: A Web-Based Resource for Aromatic Cage Binding Sites and Their Intrinsic Ligands.","N","Y","N","Y","N","Journal of chemical information and modeling",NA
"30150996","AromaDb: A Database of Medicinal and Aromatic Plant's Aroma Molecules With Phytochemistry and Therapeutic Potentials.","Y","Y","N","Y","N","Frontiers in plant science","cc by"
"25468931","AromaDeg, a novel database for phylogenomics of aerobic bacterial degradation of aromatics.","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"25428357","arrayMap 2014: an updated cancer genome resource.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"27242037","ArthropodaCyc: a CycADS powered collection of BioCyc databases to analyse and compare metabolism of arthropods. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"32507889","The articles.ELM resource: simplifying access to protein linear motif literature by annotation, text-mining and classification. ","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"32449934","ASAP 2020 update: an open, scalable and interactive web-based portal for (single-cell) omics analyses.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"24475134","ASDCD: antifungal synergistic drug combination database.","Y","Y","N","N","N","PloS one","cc by"
"34839012","ASER: Animal Sex Reversal Database.","Y","Y","N","N","N","Genomics, proteomics & bioinformatics","cc by"
"32294195","ASFVdb: an integrative resource for genomic and proteomic analyses of African swine fever virus. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"29321052","ASGDB: a specialised genomic resource for interpreting Anopheles sinensis insecticide resistance.","Y","Y","N","Y","Y","Parasites & vectors","cc by"
"27193158","ASL-LEX: A lexical database of American Sign Language.","N","Y","N","Y","N","Behavior research methods",NA
"31036810","A multi-species repository of social networks.","Y","Y","N","Y","Y","Scientific data","cc by"
"29106599","ASpedia: a comprehensive encyclopedia of human alternative splicing.","Y","Y","N","Y","Y","Nucleic acids research","cc by-nc"
"22080559","The Aspergillus Genome Database (AspGD): recent developments in comprehensive multispecies curation, comparative genomics and community resources.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"31843802","An Online Database for Exploring Over 2,000 Arabidopsis Small RNA Libraries.","N","Y","N","Y","N","Plant physiology",NA
"23904744","ASRDb: A comprehensive resource for archaeal stress response genes.","Y","Y","N","Y","N","Bioinformation",NA
"29987736","AT_CHLORO: The First Step When Looking for Information About Subplastidial Localization of Proteins.","N","Y","N","N","N","Methods in molecular biology (Clifton, N.J.)",NA
"31535335","Atacama Database: a platform of the microbiome of the Atacama Desert.","N","Y","N","Y","N","Antonie van Leeuwenhoek",NA
"33125076","ATACdb: a comprehensive human chromatin accessibility database.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"28968841","AtCircDB: a tissue-specific database for Arabidopsis circular RNAs.","N","Y","N","Y","N","Briefings in bioinformatics",NA
"30239683","ATD: a comprehensive bioinformatics resource for deciphering the association of autophagy and diseases. ","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"32681639","Autophagy and Tumor Database: ATdb, a novel database connecting autophagy and tumor. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"30624648","AtFusionDB: a database of fusion transcripts in Arabidopsis thaliana. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"22800758","'MicroRNA Targets', a new AthaMap web-tool for genome-wide identification of miRNA targets in Arabidopsis thaliana.","Y","Y","N","Y","Y","BioData mining","cc by"
"22876890","AtlasT4SS: a curated database for type IV secretion systems.","Y","Y","N","Y","Y","BMC microbiology","cc by"
"33219693","AtMAD: Arabidopsis thaliana multi-omics association database.","Y","Y","N","Y","Y","Nucleic acids research","cc by"
"25972521","AtmiRNET: a web-based resource for reconstructing regulatory networks of Arabidopsis microRNAs.","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"22397531","AtPAN: an integrated system for reconstructing transcriptional regulatory networks in Arabidopsis thaliana.","Y","Y","N","Y","N","BMC genomics","cc by"
"27899679","AtPID: a genome-scale resource for genotype-phenotype associations in Arabidopsis.","Y","Y","Y","N","N","Nucleic acids research","cc by"
"30534948","atSNP Search: a web resource for statistically evaluating influence of human genetic variation on transcription factor binding.","N","Y","N","Y","N","Bioinformatics (Oxford, England)",NA
"21217125","ATTED-II updates: condition-specific gene coexpression to extend coexpression analyses and applications to a broad range of flowering plants.","Y","Y","N","Y","N","Plant & cell physiology","cc by-nc"
"22057158","AURA: Atlas of UTR Regulatory Activity.","N","Y","N","Y","N","Bioinformatics (Oxford, England)",NA
"29198880","AureoWiki ̵ The repository of the Staphylococcus aureus research and annotation community.","N","Y","N","Y","N","International journal of medical microbiology : IJMM",NA
"29186576","AutDB: a platform to decode the genetic architecture of autism.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"23774715","The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism.","Y","Y","N","Y","N","Molecular psychiatry",NA
"22139918","AutismKB: an evidence-based knowledgebase of autism genetics.","Y","Y","N","Y","Y","Nucleic acids research","cc by-nc"
"22753780","AutoBind: automatic extraction of protein-ligand-binding affinity data from biological literature.","N","Y","N","Y","N","Bioinformatics (Oxford, England)",NA
"30669929","AutophagySMDB: a curated database of small molecules that modulate protein targets regulating autophagy.","N","Y","N","Y","N","Autophagy",NA
"33176685","Avian Immunome DB: an example of a user-friendly interface for extracting genetic information.","Y","Y","N","Y","N","BMC bioinformatics","cc by"
"24285301","AVPdb: a database of experimentally validated antiviral peptides targeting medically important viruses.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"30215764","AWESOME: a database of SNPs that affect protein post-translational modifications.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"30893420","AYbRAH: a curated ortholog database for yeasts and fungi spanning 600 million years of evolution. ","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"34976872","AMPing Up the Search: A Structural and Functional Repository of Antimicrobial Peptides for Biofilm Studies, and a Case Study of Its Application to <i>Corynebacterium striatum</i>, an Emerging Pathogen.","Y","Y","N","Y","Y","Frontiers in cellular and infection microbiology","cc by"
"21335611","B2G-FAR, a species-centered GO annotation repository.","Y","Y","N","Y","N","Bioinformatics (Oxford, England)","cc by-nc"
"34269889","B3Pdb: an archive of blood-brain barrier-penetrating peptides.","N","Y","N","Y","N","Brain structure & function",NA
"24214959","BacDive--the Bacterial Diversity Metadatabase.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"22135301","BacMap: an up-to-date electronic atlas of annotated bacterial genomes.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"24304895","BacMet: antibacterial biocide and metal resistance genes database.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"34838806","Bacteria.guru: Comparative Transcriptomics and Co-Expression Database for Bacterial Pathogens.","N","Y","N","Y","N","Journal of molecular biology",NA
"30272193","BACTOME-a reference database to explore the sequence- and gene expression-variation landscape of Pseudomonas aeruginosa clinical isolates.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"25377257","BactPepDB: a database of predicted peptides from a exhaustive survey of complete prokaryote genomes. ","Y","Y","N","N","N","Database : the journal of biological databases and curation","cc by"
"26433226","BacWGSTdb, a database for genotyping and source tracking bacterial pathogens.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"24602877","BambooGDB: a bamboo genome database with functional annotation and an analysis platform.","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"25336620","The Biobanking Analysis Resource Catalogue (BARCdb): a new research tool for the analysis of biobank samples.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"25477388","BioAssay Research Database (BARD): chemical biology and probe-development enabled by structured metadata and result types.","N","Y","N","Y","N","Nucleic acids research",NA
"33247932","BarleyVarDB: a database of barley genomic variation. ","Y","Y","Y","Y","Y","Database : the journal of biological databases and curation","cc by"
"34264745","Benchmarking and Testing Machine Learning Approaches with BARRA:CuRDa, a <i>Curated RNA-Seq Database</i> for Cancer Research.","N","Y","N","Y","N","Journal of computational biology : a journal of computational molecular cell biology",NA
"34615485","The bayberry database: a multiomic database for Myrica rubra, an important fruit tree with medicinal value.","Y","Y","N","N","N","BMC plant biology","cc by"
"31665503","BBCancer: an expression atlas of blood-based biomarkers in the early diagnosis of cancers.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"24250117","BBGD454: A database for transcriptome analysis of blueberry using 454 sequences.","Y","Y","N","Y","N","Bioinformation",NA
"24077841","BBGRE: brain and body genetic resource exchange.","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"33599248","bc-GenExMiner 4.5: new mining module computes breast cancer differential gene expression analyses. ","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"33882119","BC-TFdb: a database of transcription factor drivers in breast cancer. ","N","Y","N","Y","N","Database : the journal of biological databases and curation",NA
"27161011","BioCreative V CDR task corpus: a resource for chemical disease relation extraction. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation",NA
"27376128","BcCluster: A Bladder Cancer Database at the Molecular Level.","Y","Y","N","Y","Y","Bladder cancer (Amsterdam, Netherlands)","cc by-nc"
"25332396","BCCTBbp: the Breast Cancer Campaign Tissue Bank bioinformatics portal.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"32786900","Bioactive Conformational Ensemble Server and Database. A Public Framework to Speed Up <i>In Silico</i> Drug Discovery.","N","N","N","Y","N","Journal of chemical theory and computation",NA
"34144671","Online database for brain cancer-implicated genes: exploring the subtype-specific mechanisms of brain cancer.","Y","Y","N","Y","N","BMC genomics","cc by"
"28327601","BCIP: a gene-centered platform for identifying potential regulatory genes in breast cancer.","Y","Y","N","Y","N","Scientific reports","cc by"
"24608034","BCL2DB: database of BCL-2 family members and BH3-only proteins.","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"34736471","BDdb: a comprehensive platform for exploration and utilization of birth defect multi-omics data.","Y","Y","N","Y","N","BMC medical genomics","cc by"
"23764453","BDgene: a genetic database for bipolar disorder and its overlap with schizophrenia and major depressive disorder.","N","Y","N","Y","N","Biological psychiatry",NA
"34081565","Biomedical Entity Explorer: A Web Server for Biomedical Entity Exploration.","N","Y","N","N","N","Journal of computational biology : a journal of computational molecular cell biology",NA
"32655358","BETA: A Large Benchmark Database Toward SSVEP-BCI Application.","Y","Y","N","Y","N","Frontiers in neuroscience","cc by"
"24399916","bex-db: Bioinformatics workbench for comprehensive analysis of barley-expressed genes.","Y","Y","Y","Y","Y","Breeding science","cc by-nc-nd"
"22250003","The Biofuel Feedstock Genomics Resource: a web-based portal and database to enable functional genomics of plant biofuel feedstock species.","Y","Y","N","N","N","Database : the journal of biological databases and curation","cc by-nc"
"22125386","BFluenza: A Proteomic Database on Bird Flu.","Y","Y","N","Y","N","Bioinformation",NA
"24570022","Brazilian genetic database of chromosome X.","N","Y","N","N","N","Molecular biology reports",NA
"23894186","BGDB: a database of bivalent genes.","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"33037820","The Bgee suite: integrated curated expression atlas and comparative transcriptomics in animals.","Y","Y","N","Y","Y","Nucleic acids research","cc by"
"31807141","SEQdata-BEACON: a comprehensive database of sequencing performance and statistical tools for performance evaluation and yield simulation in BGISEQ-500.","Y","Y","N","Y","N","BioData mining","cc by"
"22084196","BGMUT: NCBI dbRBC database of allelic variations of genes encoding antigens of blood group systems.","Y","Y","N","N","N","Nucleic acids research","cc by-nc"
"34897852","BGvar: A comprehensive resource for blood group immunogenetics.","N","Y","N","Y","N","Transfusion medicine (Oxford, England)",NA
