"id","title","agency"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Fondazione Edmund Mach"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","US Dry Pea and Lentil Council"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Washington Tree Fruit Research"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Bill and Melinda Gates Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Agence Nationale de la Recherche"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Consultative Group for International Agricultural Research"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Research and Innovation Center"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Energy"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Institutes of Health"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","The Northern Pulse Growers"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","University of Montpellier"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","Bill and Melinda Gates Foundation"
"24217911","AgeFactDB--the JenAge Ageing Factor Database--towards data integration in ageing research.",NA
"26602690","Aging Chart: a community resource for rapid exploratory pathway analysis of age-related processes.",NA
"30231853","AgriSeqDB: an online RNA-Seq database for functional studies of agriculturally relevant plant species.","The Australian National Data Service"
"22084200","AH-DB: collecting protein structure pairs before and after binding.",NA
"28376796","AHCODA-DB: a data repository with web-based mining tools for the analysis of automated high-content mouse phenomics data.","Dutch Research Council (NWO)"
"28376796","AHCODA-DB: a data repository with web-based mining tools for the analysis of automated high-content mouse phenomics data.","Agentschap NL"
"28376796","AHCODA-DB: a data repository with web-based mining tools for the analysis of automated high-content mouse phenomics data.","Seventh Framework Programme"
"25392419","AHTPDB: a comprehensive platform for analysis and presentation of antihypertensive peptides.",NA
"31123286","AICD: an integrated anti-inflammatory compounds database for drug discovery.","Guangdong Provincial Hospital of Chinese Medicine Science and Technology Research Program"
"31123286","AICD: an integrated anti-inflammatory compounds database for drug discovery.","the National Undergraduate Training Programs for Innovation and Entrepreneurship"
"31123286","AICD: an integrated anti-inflammatory compounds database for drug discovery.","the start-up support for scientific research of Xinglin Young Scholar in Guangzhou University of Chinese Medicine"
"31123286","AICD: an integrated anti-inflammatory compounds database for drug discovery.","Guangdong Science and Technology project"
"21148158","Translational research network and patient registry for auto-inflammatory diseases.",NA
"26644461","ALCOdb: Gene Coexpression Database for Microalgae.",NA
"25853886","ALDB: a domestic-animal long noncoding RNA database.",NA
"30357390","ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation.","Novo Nordisk Fonden"
"30357390","ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation.","Technical University of Denmark"
"30357390","ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation.","NIAID NIH HHS"
"30357390","ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation.","National Institute of Allergy and Infectious Diseases"
"30357390","ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation.","NNF Center for Biosustainability"
"24556904","In silico identification of transcription factors in Medicago sativa using available transcriptomic resources.",NA
"34361108","alfaNET: A Database of Alfalfa-Bacterial Stem Blight Protein-Protein Interactions Revealing the Molecular Features of the Disease-causing Bacteria. ",NA
"22039151","ALFRED: an allele frequency resource for research and teaching.",NA
"28069893","Alga-PrAS (Algal Protein Annotation Suite): A Database of Comprehensive Annotation in Algal Proteomes.",NA
"24628857","AlgaePath: comprehensive analysis of metabolic pathways using transcript abundance data from next-generation sequencing in green algae.",NA
"22659196","Alkamid database: Chemistry, occurrence and functionality of plant N-alkylamides.","“Institute for the Promotion of Innovation through Science and Technology in Flanders (IWT-Vlaanderen)”"
"23193282","Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.","PHS HHS"
"23193282","Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.","NIMH NIH HHS"
"23193282","Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.","NHLBI NIH HHS"
"23193282","Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.","NIMH NIH HHS"
"23193282","Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.","NIMH NIH HHS"
"25097382","AllergenPro: an integrated database for allergenicity analysis and prediction.",NA
"21498548","Allie: a database and a search service of abbreviations and long forms.",NA
"22559261","AlliumMap-A comparative genomics resource for cultivated Allium vegetables.",NA
"30365033","AlloMAPS: allosteric mutation analysis and polymorphism of signaling database.","Biomedical Research Council"
"33852582","AlnC: An extensive database of long non-coding RNAs in angiosperms.",NA
"34316271","Virtual Herbarium ALTB: collection of vascular plants of the Altai Mountain Country.",NA
"21880703","AluHunter: a database of potentially polymorphic Alu insertions for use in primate phylogeny and population genetics.",NA
"25432889","AlzBase: an Integrative Database for Gene Dysregulation in Alzheimer's Disease.",NA
"22647208","AlzPathway: a comprehensive map of signaling pathways of Alzheimer's disease.",NA
"34335304","Amadis: A Comprehensive Database for Association Between Microbiota and Disease.",NA
"25762455","amamutdb.no: A relational database for MAN2B1 allelic variants that compiles genotypes, clinical phenotypes, and biochemical and structural data of mutant MAN2B1 in α-mannosidosis.","European Commission FP VI"
"32193422","A database of freshwater fish species of the Amazon Basin.",NA
"23317704","AMDD: antimicrobial drug database.","Biotechnology Unit, AMU and DBT"
"26828034","AmphibiaChina: an online database of Chinese Amphibians.",NA
"30247677","AmtDB: a database of ancient human mitochondrial genomes.","Ministry of Education"
"30247677","AmtDB: a database of ancient human mitochondrial genomes.","Ministry of Education"
"30247677","AmtDB: a database of ancient human mitochondrial genomes.","Polish National Science Center"
"31094220","AmyCo: the amyloidoses collection.","European Union and Greek National Funds through the Operational Program ‘Competitiveness, Entrepreneurship and Innovation’"
"26088800","AmyLoad: website dedicated to amyloidogenic protein fragments.",NA
"29040693","AmyPro: a database of proteins with validated amyloidogenic regions.","Medical Research Council"
"32765587","ABC-GWAS: Functional Annotation of Estrogen Receptor-Positive Breast Cancer Genetic Variants.","National Institutes of Health"
"32765587","ABC-GWAS: Functional Annotation of Estrogen Receptor-Positive Breast Cancer Genetic Variants.","NCI NIH HHS"
"32765587","ABC-GWAS: Functional Annotation of Estrogen Receptor-Positive Breast Cancer Genetic Variants.","NIGMS NIH HHS"
"30371900","Ancestral Genomes: a resource for reconstructed ancestral genes and genomes across the tree of life.","National Science Foundation"
"30371900","Ancestral Genomes: a resource for reconstructed ancestral genes and genomes across the tree of life.","NHGRI NIH HHS"
"30371900","Ancestral Genomes: a resource for reconstructed ancestral genes and genomes across the tree of life.","National Institutes of Health"
"31347432","ANDB: Development of a Database Based on a Global Survey of Literature on Areca Nut and Associated Health Effects.",NA
"27582018","ANGIOGENES: knowledge database for protein-coding and noncoding RNA genes in endothelial cells.",NA
"30937442","The sncRNA Zoo: a repository for circulating small noncoding RNAs in animals.","Saarland University"
"30937442","The sncRNA Zoo: a repository for circulating small noncoding RNAs in animals.","Michael J. Fox Foundation for Parkinson’s Research"
"32986825","Animal-APAdb: a comprehensive animal alternative polyadenylation database.","Jiangsu Agricultural Science and Technology Independent Innovation Fund"
"32986825","Animal-APAdb: a comprehensive animal alternative polyadenylation database.","Fundamental Research Funds for the Central Universities"
"32986825","Animal-APAdb: a comprehensive animal alternative polyadenylation database.","Huazhong Agricultural University Scientific &amp; Technological Self-innovation Foundation"
"32986825","Animal-APAdb: a comprehensive animal alternative polyadenylation database.","National Natural Science Foundation of China"
"31584087","Animal-ImputeDB: a comprehensive database with multiple animal reference panels for genotype imputation.","Huazhong Agricultural University Scientific &amp; Technological Self-innovation Foundation"
"31584087","Animal-ImputeDB: a comprehensive database with multiple animal reference panels for genotype imputation.","National Natural Science Foundation of China"
"31584087","Animal-ImputeDB: a comprehensive database with multiple animal reference panels for genotype imputation.","Fundamental Research Funds for the Central University"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","MEXT"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Agence Nationale de la Recherche"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Kato Memorial Research Foundation"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Agence Nationale de la Recherche"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Agence Nationale de la Recherche"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Agence Nationale de la Recherche"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Institut Français de Bioinformatique"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","NICHD NIH HHS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","CNRS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Japan Foundation for Applied Enzymology"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Inamori Foundation"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Agence Nationale de la Recherche"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","National Science Foundation"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","Sumitomo Foundation"
"31680137","ANISEED 2019: 4D exploration of genetic data for an extended range of tunicates.","JSPS"
"21904438","Antagomirbase- a putative antagomir database.",NA
"33996073","Drug-drug interaction database for safe prescribing of systemic antifungal agents.",NA
"32584882","ACD: Antimicrobial chemotherapeutics database.",NA
"30639529","Catalysing the way towards antimicrobial effectiveness: A systematic analysis and a new online resource for antimicrobial-enzyme combinations against Pseudomonas aeruginosa and Staphylococcus aureus.","European Regional Development Fund"
"27924032","The antiSMASH database, a comprehensive database of microbial secondary metabolite biosynthetic gene clusters.","NNF Center for Biosustainability"
"27924032","The antiSMASH database, a comprehensive database of microbial secondary metabolite biosynthetic gene clusters.","Novo Nordisk Fonden"
"27671474","ANTISTAPHYBASE: database of antimicrobial peptides (AMPs) and essential oils (EOs) against methicillin-resistant Staphylococcus aureus (MRSA) and Staphylococcus aureus.",NA
"28784999","AOD: the antioxidant protein database.",NA
"31978081","All of gene expression (AOE): An integrated index for public gene expression databases.","Japan Science and Technology Agency"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","National Institutes of Health"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","National Institutes of Health"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","NCI NIH HHS"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","NCI NIH HHS"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","NCI NIH HHS"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","NCI NIH HHS"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","National Institutes of Health"
"31586392","APAatlas: decoding alternative polyadenylation across human tissues.","Cancer Prevention &amp; Research Institute of Texas"
"25052703","APADB: a database for alternative polyadenylation and microRNA regulation events. ",NA
"25378337","APASdb: a database describing alternative poly(A) sites and selection of heterogeneous cleavage sites downstream of poly(A) signals.",NA
"30715274","APID database: redefining protein-protein interaction experimental evidences and binary interactomes. ","Instituto de Salud Carlos III"
"30715274","APID database: redefining protein-protein interaction experimental evidences and binary interactomes. ","European Project H2020"
"30715274","APID database: redefining protein-protein interaction experimental evidences and binary interactomes. ","Instituto de Salud Carlos III"
"30715274","APID database: redefining protein-protein interaction experimental evidences and binary interactomes. ","European Project H2020"
"30715274","APID database: redefining protein-protein interaction experimental evidences and binary interactomes. ","Federación Española de Enfermedades Raras"
"28413782","APMicroDB: A microsatellite database of <i>Acyrthosiphon pisum</i>.",NA
"26861916","ApoCanD: Database of human apoptotic proteins in the context of cancer.",NA
"22067098","ApoptoProteomics, an integrated database for analysis of proteomics data obtained from apoptotic cells.",NA
"31695717","AppleMDO: A Multi-Dimensional Omics Database for Apple Co-Expression Networks and Chromatin States.","National Natural Science Foundation of China"
"33643383","Abiotic Stress-Responsive miRNA and Transcription Factor-Mediated Gene Regulatory Network in <i>Oryza sativa</i>: Construction and Structural Measure Study.",NA
"34556150","AprGPD: the apricot genomic and phenotypic database.","the National Key R&D Program of China"
"34556150","AprGPD: the apricot genomic and phenotypic database.","the National Key R&amp;D Program of China"
"34556150","AprGPD: the apricot genomic and phenotypic database.","the Fundamental Research Funds for the Central Non-profit Research Institution of Chinese Academy of Forestry"
"22434840","Aptamer Base: a collaborative knowledge base to describe aptamers and SELEX experiments.",NA
"28095775","ARA-PEPs: a repository of putative sORF-encoded peptides in Arabidopsis thaliana.","Fonds Wetenschappelijk Onderzoek (BE)"
"28095775","ARA-PEPs: a repository of putative sORF-encoded peptides in Arabidopsis thaliana.","Onderzoeksraad, KU Leuven (BE)"
"28095775","ARA-PEPs: a repository of putative sORF-encoded peptides in Arabidopsis thaliana.","Vlaams Instituut voor Biotechnologie"
"24272250","RARGE II: an integrated phenotype database of Arabidopsis mutant traits using a controlled vocabulary.",NA
"22345505","ANAP: an integrated knowledge base for Arabidopsis protein interaction network analysis.","Biotechnology and Biological Sciences Research Council"
"22345505","ANAP: an integrated knowledge base for Arabidopsis protein interaction network analysis.","Biotechnology and Biological Sciences Research Council"
"29069336","ArachnoServer 3.0: an online resource for automated discovery, analysis and annotation of spider toxins.",NA
"29059333","The AraGWAS Catalog: a curated and standardized Arabidopsis thaliana GWAS catalog.",NA
"25487439","An annotated database of Arabidopsis mutants of acyl lipid metabolism.",NA
"25355510","AraNet v2: an improved database of co-functional gene networks for the study of Arabidopsis thaliana and 27 other nonmodel plant species.",NA
"22760305","AraPath: a knowledgebase for pathway analysis in Arabidopsis.","NCI NIH HHS"
"22760305","AraPath: a knowledgebase for pathway analysis in Arabidopsis.","NIGMS NIH HHS"
"22760305","AraPath: a knowledgebase for pathway analysis in Arabidopsis.","NIGMS NIH HHS"
"25414324","Araport: the Arabidopsis information portal.","Biotechnology and Biological Sciences Research Council"
"27995664","AraQTL - workbench and archive for systems genetics in Arabidopsis thaliana.","Dutch Research Council (NWO)"
"24265221","ArchDB 2014: structural classification of loops in proteins.","Biotechnology and Biological Sciences Research Council"
"29077946","ARED-Plus: an updated and expanded database of AU-rich element-containing mRNAs and pre-mRNAs.",NA
"26602692","AREsite2: an enhanced database for the comprehensive investigation of AU/GU/U-rich elements.",NA
"34738791","AroCageDB: A Web-Based Resource for Aromatic Cage Binding Sites and Their Intrinsic Ligands.","Baden-W??rttemberg Stiftung"
"34738791","AroCageDB: A Web-Based Resource for Aromatic Cage Binding Sites and Their Intrinsic Ligands.","Deutsche Forschungsgemeinschaft"
"34738791","AroCageDB: A Web-Based Resource for Aromatic Cage Binding Sites and Their Intrinsic Ligands.","Deutscher Akademischer Austauschdienst"
"30150996","AromaDb: A Database of Medicinal and Aromatic Plant's Aroma Molecules With Phytochemistry and Therapeutic Potentials.","Central Institute of Medicinal and Aromatic Plants"
"30150996","AromaDb: A Database of Medicinal and Aromatic Plant's Aroma Molecules With Phytochemistry and Therapeutic Potentials.","Central Institute of Medicinal and Aromatic Plants"
"30150996","AromaDb: A Database of Medicinal and Aromatic Plant's Aroma Molecules With Phytochemistry and Therapeutic Potentials.","Central Institute of Medicinal and Aromatic Plants"
"30150996","AromaDb: A Database of Medicinal and Aromatic Plant's Aroma Molecules With Phytochemistry and Therapeutic Potentials.","Central Institute of Medicinal and Aromatic Plants"
"25468931","AromaDeg, a novel database for phylogenomics of aerobic bacterial degradation of aromatics.",NA
"25428357","arrayMap 2014: an updated cancer genome resource.",NA
"27242037","ArthropodaCyc: a CycADS powered collection of BioCyc databases to analyse and compare metabolism of arthropods. ",NA
"32507889","The articles.ELM resource: simplifying access to protein linear motif literature by annotation, text-mining and classification. ","Agencia Nacional de Promoción Científica y Tecnológica"
"32507889","The articles.ELM resource: simplifying access to protein linear motif literature by annotation, text-mining and classification. ","Cancer Research UK"
"32507889","The articles.ELM resource: simplifying access to protein linear motif literature by annotation, text-mining and classification. ","Consejo Nacional de Investigaciones Científicas y Técnicas"
"32507889","The articles.ELM resource: simplifying access to protein linear motif literature by annotation, text-mining and classification. ","Agencia Nacional de Promoción Científica y Tecnológica"
"32449934","ASAP 2020 update: an open, scalable and interactive web-based portal for (single-cell) omics analyses.","Swiss National Science Foundation"
"32449934","ASAP 2020 update: an open, scalable and interactive web-based portal for (single-cell) omics analyses.","Chan Zuckerberg Initiative"
"32449934","ASAP 2020 update: an open, scalable and interactive web-based portal for (single-cell) omics analyses.","EPFL"
"32449934","ASAP 2020 update: an open, scalable and interactive web-based portal for (single-cell) omics analyses.","Swiss National Science Foundation"
"32449934","ASAP 2020 update: an open, scalable and interactive web-based portal for (single-cell) omics analyses.","Precision Health &amp; related Technologies"
"32449934","ASAP 2020 update: an open, scalable and interactive web-based portal for (single-cell) omics analyses.","Swiss National Science Foundation"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Shanghai Sailing Program"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Chinese National Precise Medical Research key project"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Shanghai Health and Family Planning Commission"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Shanghai Municipal Education Commission"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","National Natural Science Foundation of China"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Natural Science Foundation of Shanghai Municipal Commission of Health and Family Planning"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Shanghai Health and Family Planning Commission"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","National Natural Science Foundation of China"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","National Natural Science Foundation of China"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Shanghai Natural Science Foundation"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","Shanghai Science and Technology Innovation"
"31665428","Unraveling allosteric landscapes of allosterome with ASD.","National Natural Science Foundation of China"
"24475134","ASDCD: antifungal synergistic drug combination database.",NA
"34839012","ASER: Animal Sex Reversal Database.","Hubei Province Natural Science Foundation"
"34839012","ASER: Animal Sex Reversal Database.","National Natural Science Foundation of China"
"32294195","ASFVdb: an integrative resource for genomic and proteomic analyses of African swine fever virus. ","National Natural Science Foundation of China"
"32294195","ASFVdb: an integrative resource for genomic and proteomic analyses of African swine fever virus. ","Central Universities in China"
"32294195","ASFVdb: an integrative resource for genomic and proteomic analyses of African swine fever virus. ","National Key Research and Development Program"
"29321052","ASGDB: a specialised genomic resource for interpreting Anopheles sinensis insecticide resistance.","National Natural Science Foundation of China"
"29321052","ASGDB: a specialised genomic resource for interpreting Anopheles sinensis insecticide resistance.","Priority Academic Program Development of Jiangsu Higher Education Institutions"
"27193158","ASL-LEX: A lexical database of American Sign Language.","NIDCD NIH HHS"
"27193158","ASL-LEX: A lexical database of American Sign Language.","National Institutes of Health"
"27193158","ASL-LEX: A lexical database of American Sign Language.","NIDCD NIH HHS"
"27193158","ASL-LEX: A lexical database of American Sign Language.","Tufts University"
